motion,mIntv,soa,i1,i2,i3,i4,i5,i6,resp,rt,sub,Am,Gm
2,3,50,11,14,17,11,17,14,0,1.22000682597218,1,14,13.7823480810476
2,2,80,5,23,14,14,23,5,0,0.120725021616636,1,14,11.7203871786732
2,1,80,14,7,14,28,28,7,0,0.193614217899267,1,16.3333333333333,14
2,2,50,23,14,5,5,23,14,0,0.330445860090549,1,14,11.7203871786732
2,3,230,11,17,11,14,14,17,1,0.15320668858476,1,14,13.7823480810476
1,1,50,28,28,7,7,14,14,0,0.277986522011361,1,16.3333333333333,14
2,3,80,14,11,14,17,17,11,0,0.108786613944176,1,14,13.7823480810476
2,2,110,23,14,5,23,5,14,1,0.0756233524607524,1,14,11.7203871786732
1,2,140,5,14,23,23,14,5,1,0.23444119404121,1,14,11.7203871786732
1,3,230,11,11,14,14,17,17,1,0.197160974767485,1,14,13.7823480810476
2,3,140,17,14,11,11,14,17,1,0.136029330868041,1,14,13.7823480810476
2,3,110,11,17,14,17,11,14,0,0.0868539365624201,1,14,13.7823480810476
2,2,200,5,23,5,14,23,14,1,0.117678075412641,1,14,11.7203871786732
2,2,200,14,5,5,14,23,23,1,0.042518733232555,1,14,11.7203871786732
2,1,200,14,28,7,14,7,28,1,0.0213038078895806,1,16.3333333333333,14
2,2,230,5,23,14,14,5,23,1,0.172233756660262,1,14,11.7203871786732
1,3,80,11,14,14,17,11,17,0,0.0510537547465901,1,14,13.7823480810476
2,1,140,14,14,7,28,28,7,0,0.471877173166376,1,16.3333333333333,14
1,2,110,5,23,23,14,14,5,1,0.080582485825289,1,14,11.7203871786732
1,1,140,7,7,14,28,14,28,1,0.000106254549791629,1,16.3333333333333,14
2,3,140,11,17,11,14,17,14,1,0.0603406106565672,1,14,13.7823480810476
1,1,230,7,14,7,14,28,28,1,0.10110986558584,1,16.3333333333333,14
1,1,140,7,7,28,28,14,14,0,1.02588353434521,1,16.3333333333333,14
1,1,50,14,14,7,28,7,28,0,0.316388436550369,1,16.3333333333333,14
1,3,80,17,17,11,11,14,14,0,0.16517937034132,1,14,13.7823480810476
1,2,230,14,5,23,5,14,23,1,0.0940045324209677,1,14,11.7203871786732
1,2,80,14,14,23,5,5,23,0,0.1688379117777,1,14,11.7203871786732
2,3,140,11,17,14,11,14,17,1,0.181673163638152,1,14,13.7823480810476
1,3,80,11,14,17,17,11,14,0,0.19650987993964,1,14,13.7823480810476
1,2,140,23,5,5,14,14,23,1,0.179339071028153,1,14,11.7203871786732
1,1,80,7,28,14,28,14,7,0,0.230144817038763,1,16.3333333333333,14
1,2,230,14,23,5,14,5,23,1,0.100906777442106,1,14,11.7203871786732
1,1,140,28,28,7,14,7,14,1,0.0636920123856726,1,16.3333333333333,14
1,2,170,5,5,14,23,23,14,1,0.176568595673871,1,14,11.7203871786732
2,2,80,5,14,5,23,23,14,0,1.83347143467427,1,14,11.7203871786732
1,1,110,14,7,28,14,28,7,0,0.337606628776939,1,16.3333333333333,14
1,1,140,14,7,28,14,28,7,1,0.0462327026725688,1,16.3333333333333,14
1,2,50,14,14,5,23,23,5,0,0.0512075464025656,1,14,11.7203871786732
2,1,50,14,14,7,7,28,28,0,0.222049497783701,1,16.3333333333333,14
1,1,230,14,28,28,7,14,7,1,0.000108183101474424,1,16.3333333333333,14
1,3,50,11,14,17,14,11,17,0,0.141661047562593,1,14,13.7823480810476
1,2,230,23,14,14,23,5,5,1,0.0104998885863097,1,14,11.7203871786732
1,3,170,14,17,14,11,17,11,1,0.138946237051641,1,14,13.7823480810476
2,3,230,11,11,14,17,14,17,1,0.0597315529917068,1,14,13.7823480810476
2,2,80,23,23,14,5,5,14,0,0.0326306842375743,1,14,11.7203871786732
2,1,80,28,7,28,14,7,14,0,0.129444751762549,1,16.3333333333333,14
1,1,50,14,28,7,28,7,14,0,0.0902858073909556,1,16.3333333333333,14
2,3,110,11,11,17,14,14,17,1,0.0792008496155177,1,14,13.7823480810476
2,2,140,14,14,23,23,5,5,1,1.51006966777504,1,14,11.7203871786732
2,3,230,11,14,11,17,14,17,0,0.00011001015036527,1,14,13.7823480810476
2,2,200,23,14,23,5,14,5,1,0.177207765812454,1,14,11.7203871786732
2,3,140,11,11,17,14,17,14,1,0.000112303359856014,1,14,13.7823480810476
1,3,50,11,17,14,11,17,14,0,0.129029549252664,1,14,13.7823480810476
1,2,200,23,14,5,23,5,14,1,0.0879087152216016,1,14,11.7203871786732
2,2,200,23,23,14,5,5,14,1,0.0127140350577974,1,14,11.7203871786732
2,3,140,14,11,17,14,17,11,1,0.000115953698696103,1,14,13.7823480810476
1,3,50,17,14,11,17,14,11,0,0.094506004723371,1,14,13.7823480810476
