motion,mIntv,soa,i1,i2,i3,i4,i5,i6,resp,rt,sub,Am,Gm
2,2,230,14,14,5,5,23,23,1,0.0893138624692256,1,14,11.7203871786732
2,3,80,11,14,11,14,17,17,0,0.130145259618075,1,14,13.7823480810476
2,1,230,14,28,14,28,7,7,1,0.186932662344589,1,16.3333333333333,14
1,2,230,14,23,23,5,5,14,1,0.0216977700160896,1,14,11.7203871786732
2,2,200,23,5,14,14,5,23,1,0.0544958209588913,1,14,11.7203871786732
1,3,200,17,14,14,11,11,17,1,0.000111882311557565,1,14,13.7823480810476
1,1,110,28,14,14,7,28,7,0,0.000111810883481667,1,16.3333333333333,14
2,2,50,14,14,5,23,23,5,0,0.175068201283011,1,14,11.7203871786732
2,2,80,14,14,5,23,5,23,1,0.000112243209969165,1,14,11.7203871786732
1,3,170,17,14,14,11,17,11,1,0.000112825910946412,1,14,13.7823480810476
2,3,80,11,11,14,14,17,17,0,0.935731984976428,1,14,13.7823480810476
1,1,140,14,28,28,7,14,7,0,0.0762460753990126,1,16.3333333333333,14
1,1,110,7,14,14,28,28,7,0,0.633008306818738,1,16.3333333333333,14
1,1,200,14,28,14,28,7,7,1,0.000114359729650459,1,16.3333333333333,14
1,3,80,11,17,14,11,14,17,0,0.210450748283165,1,14,13.7823480810476
2,3,110,17,17,14,14,11,11,1,0.247259806973943,1,14,13.7823480810476
1,1,110,7,14,28,28,14,7,0,0.304039018055391,1,16.3333333333333,14
2,3,140,17,11,14,14,17,11,1,0.0907868999975108,1,14,13.7823480810476
1,1,170,14,7,14,28,28,7,1,0.0575562219119092,1,16.3333333333333,14
2,1,110,7,28,28,14,14,7,0,1.32042816854209,1,16.3333333333333,14
2,1,110,28,14,28,14,7,7,0,0.410792047586256,1,16.3333333333333,14
2,1,170,7,14,28,14,7,28,1,0.0515000960344878,1,16.3333333333333,14
1,3,50,14,11,14,17,17,11,0,0.100307091861396,1,14,13.7823480810476
1,2,50,5,23,14,14,23,5,0,0.0792344470150965,1,14,11.7203871786732
1,1,110,14,28,14,7,28,7,1,0.90005394476475,1,16.3333333333333,14
2,3,140,14,17,14,11,11,17,1,0.0146339815378269,1,14,13.7823480810476
1,2,140,23,14,23,5,5,14,1,0.0694609532370123,1,14,11.7203871786732
2,3,80,14,17,11,17,14,11,0,0.317892657969878,1,14,13.7823480810476
1,2,80,14,23,23,5,5,14,0,0.190611384025487,1,14,11.7203871786732
1,3,200,17,17,14,11,14,11,1,0.0413787449206211,1,14,13.7823480810476
1,1,50,28,7,14,14,28,7,0,0.0122396226288402,1,16.3333333333333,14
1,3,230,17,14,11,14,11,17,0,0.16513096482231,1,14,13.7823480810476
2,1,50,7,7,28,28,14,14,0,0.02993134349299,1,16.3333333333333,14
2,1,50,7,7,14,14,28,28,0,0.0827827452212659,1,16.3333333333333,14
1,1,170,14,7,14,28,28,7,1,0.00011353643003531,1,16.3333333333333,14
2,1,140,28,14,28,14,7,7,1,0.0363207178324956,1,16.3333333333333,14
1,1,230,28,14,14,28,7,7,1,0.077100701974814,1,16.3333333333333,14
1,3,110,14,14,11,17,17,11,1,0.0400037402214366,1,14,13.7823480810476
2,2,110,5,23,14,14,23,5,0,0.252877715539398,1,14,11.7203871786732
2,1,110,14,7,14,7,28,28,0,0.717546876142933,1,16.3333333333333,14
2,2,200,5,14,23,23,14,5,1,0.000111363519863517,1,14,11.7203871786732
1,2,140,5,23,14,23,14,5,1,0.00107357169963507,1,14,11.7203871786732
1,1,110,7,7,28,28,14,14,0,0.233874143463709,1,16.3333333333333,14
2,2,230,5,23,14,23,5,14,1,0.000115506334623205,1,14,11.7203871786732
2,2,80,23,23,14,5,14,5,0,0.0415577468447736,1,14,11.7203871786732
1,1,230,14,28,7,7,28,14,1,0.0843296466546235,1,16.3333333333333,14
2,3,170,17,14,11,14,11,17,1,0.0472674664988517,1,14,13.7823480810476
2,2,80,14,5,5,23,14,23,0,0.0760428030471303,1,14,11.7203871786732
2,2,50,5,23,23,14,5,14,0,0.132961719462855,1,14,11.7203871786732
1,3,110,14,17,11,17,11,14,0,1.04778957290227,1,14,13.7823480810476
1,1,140,14,7,7,14,28,28,1,0.000117434886306,1,16.3333333333333,14
2,3,140,11,17,14,14,17,11,1,0.0110853374708313,1,14,13.7823480810476
1,3,80,11,17,17,14,11,14,0,0.155963389644057,1,14,13.7823480810476
1,1,170,28,14,28,7,7,14,1,0.238775435317166,1,16.3333333333333,14
1,3,170,11,17,17,14,14,11,1,0.331530585810924,1,14,13.7823480810476
1,1,80,14,28,14,7,28,7,0,0.0142810265106164,1,16.3333333333333,14
2,3,110,14,11,17,14,17,11,0,0.135264323674164,1,14,13.7823480810476
2,3,110,11,14,17,17,11,14,1,0.0580925697959174,1,14,13.7823480810476
2,1,50,28,28,14,14,7,7,0,0.0449578736379408,1,16.3333333333333,14
2,2,50,23,5,14,5,23,14,0,0.0419035102167982,1,14,11.7203871786732
1,2,170,23,5,14,23,5,14,1,0.0247472876217216,1,14,11.7203871786732
1,2,110,14,23,23,14,5,5,1,0.205629211252017,1,14,11.7203871786732
2,2,170,14,5,5,14,23,23,1,0.000118855924483796,1,14,11.7203871786732
2,1,230,28,7,14,28,14,7,1,0.0312107627059959,1,16.3333333333333,14
2,2,170,23,23,5,14,5,14,1,0.00011331838732076,1,14,11.7203871786732
2,1,80,7,7,14,28,28,14,0,0.000112897338567564,1,16.3333333333333,14
2,3,80,11,14,17,17,14,11,1,0.0398299976418457,1,14,13.7823480810476
2,2,80,5,23,14,23,14,5,0,0.212681011131281,1,14,11.7203871786732
2,3,80,14,11,11,17,17,14,0,0.0855555401003585,1,14,13.7823480810476
1,3,110,11,17,14,17,14,11,1,0.113954677497986,1,14,13.7823480810476
2,1,140,7,28,14,28,7,14,1,0.156749795115047,1,16.3333333333333,14
2,2,200,14,23,23,14,5,5,1,0.00957270636308749,1,14,11.7203871786732
1,3,110,14,11,17,11,17,14,0,0.0764343516643748,1,14,13.7823480810476
2,3,230,11,17,11,14,17,14,1,0.00521953295083222,1,14,13.7823480810476
1,2,170,14,5,5,14,23,23,1,0.0841105699528271,1,14,11.7203871786732
2,2,80,14,23,14,5,5,23,0,0.0591032812376397,1,14,11.7203871786732
1,1,170,7,14,28,28,7,14,1,0.0819218029205331,1,16.3333333333333,14
2,2,110,23,5,14,23,14,5,0,0.0388403198194283,1,14,11.7203871786732
2,3,110,14,11,14,17,17,11,0,0.000115547687528306,1,14,13.7823480810476
2,1,110,7,28,14,14,28,7,0,0.0665579416477158,1,16.3333333333333,14
2,2,50,5,14,23,14,5,23,0,0.0234187674082023,1,14,11.7203871786732
1,1,170,14,7,7,28,28,14,1,0.0282918377461101,1,16.3333333333333,14
1,2,110,23,14,23,5,14,5,0,0.0431545049091255,1,14,11.7203871786732
2,1,170,14,7,28,28,7,14,1,0.0999834936756088,1,16.3333333333333,14
2,3,200,14,17,14,17,11,11,1,0.134809332098484,1,14,13.7823480810476
1,1,50,28,14,7,14,28,7,0,0.0936473293163544,1,16.3333333333333,14
1,2,170,14,23,14,23,5,5,1,0.0544751031261512,1,14,11.7203871786732
2,2,230,14,23,5,5,14,23,1,0.0173758519222247,1,14,11.7203871786732
1,2,110,5,5,14,14,23,23,0,1.11029700344852,1,14,11.7203871786732
1,2,170,14,23,5,14,5,23,1,0.034704535155015,1,14,11.7203871786732
1,3,200,14,11,11,17,17,14,1,0.0535808679337606,1,14,13.7823480810476
2,1,230,28,14,7,28,14,7,1,1.38834694962134,1,16.3333333333333,14
1,1,230,28,7,28,14,14,7,1,0.000116908575819252,1,16.3333333333333,14
2,1,140,7,14,7,28,28,14,1,0.000144964678838733,1,16.3333333333333,14
2,1,110,14,28,7,28,14,7,1,0.628347384681547,1,16.3333333333333,14
1,2,50,23,5,23,14,5,14,0,0.0770418303982296,1,14,11.7203871786732
1,2,80,5,23,14,5,14,23,0,0.0679624573226647,1,14,11.7203871786732
2,1,170,7,14,14,28,7,28,1,0.562450650540086,1,16.3333333333333,14
2,1,170,14,7,14,28,7,28,1,0.073105209105961,1,16.3333333333333,14
2,3,110,14,11,17,14,17,11,0,0.0600342077832465,1,14,13.7823480810476
2,1,230,7,28,14,7,14,28,1,0.492794018858604,1,16.3333333333333,14
2,3,230,14,17,11,17,14,11,1,0.000115998810542806,1,14,13.7823480810476
2,1,50,14,28,7,14,28,7,0,0.110247835804785,1,16.3333333333333,14
1,1,110,14,14,28,7,7,28,0,0.09507061923523,1,16.3333333333333,14
1,3,140,17,11,17,14,14,11,1,0.151919596518383,1,14,13.7823480810476
1,2,50,23,14,5,23,14,5,0,0.0447176317397862,1,14,11.7203871786732
2,1,50,14,7,7,28,28,14,0,0.0515437497224411,1,16.3333333333333,14
1,3,230,11,14,14,17,17,11,1,0.100426064326257,1,14,13.7823480810476
1,2,200,23,14,5,23,5,14,1,0.103228986715749,1,14,11.7203871786732
1,3,50,14,17,11,11,14,17,0,0.0980522202439715,1,14,13.7823480810476
1,1,140,7,14,28,28,14,7,1,0.108849301271675,1,16.3333333333333,14
2,2,110,23,14,23,14,5,5,0,0.16323060836703,1,14,11.7203871786732
2,1,80,14,28,7,7,14,28,0,0.0539763563597262,1,16.3333333333333,14
1,2,200,5,14,14,23,23,5,1,0.0988999747096386,1,14,11.7203871786732
2,3,50,17,17,14,11,11,14,0,0.0157748307428847,1,14,13.7823480810476
2,3,230,17,14,17,11,14,11,1,0.0746638810951481,1,14,13.7823480810476
2,3,230,17,14,11,17,14,11,1,0.115474789732616,1,14,13.7823480810476
2,3,140,11,17,17,14,11,14,0,0.0942942550145744,1,14,13.7823480810476
1,3,170,11,14,17,17,14,11,1,0.0731510620198605,1,14,13.7823480810476
2,1,170,14,14,7,28,28,7,1,1.17395085081171,1,16.3333333333333,14
1,3,80,11,11,14,17,17,14,0,0.0723401718369132,1,14,13.7823480810476
2,1,200,14,28,7,28,7,14,1,0.147082728816713,1,16.3333333333333,14
1,2,230,5,23,14,14,23,5,1,0.185889684315953,1,14,11.7203871786732
2,1,170,14,28,7,7,14,28,1,0.0285620379836473,1,16.3333333333333,14
2,1,140,28,14,7,7,28,14,0,0.301450435573315,1,16.3333333333333,14
2,3,50,14,14,17,17,11,11,0,0.0742454229794021,1,14,13.7823480810476
1,2,80,5,14,14,5,23,23,0,0.115143676585831,1,14,11.7203871786732
1,3,140,14,17,11,17,14,11,0,0.173918280742328,1,14,13.7823480810476
2,1,200,28,14,28,7,14,7,1,0.0887472742933824,1,16.3333333333333,14
1,2,50,14,14,5,23,23,5,0,0.0316575851920788,1,14,11.7203871786732
1,2,140,14,5,23,5,14,23,0,0.260495261497454,1,14,11.7203871786732
1,1,170,14,28,7,14,28,7,1,0.159224540418109,1,16.3333333333333,14
2,1,200,14,7,28,14,7,28,1,0.000117446164040302,1,16.3333333333333,14
1,3,140,17,14,11,14,11,17,1,0.000118314575956902,1,14,13.7823480810476
2,2,50,23,23,5,5,14,14,0,0.000116814591820003,1,14,11.7203871786732
1,1,80,14,28,7,28,7,14,0,0.266680668004483,1,16.3333333333333,14
1,2,170,5,23,5,23,14,14,1,0.000137186562824354,1,14,11.7203871786732
1,2,110,5,23,14,5,14,23,0,1.60031067487307,1,14,11.7203871786732
2,1,230,28,14,7,14,28,7,1,0.000120863422125694,1,16.3333333333333,14
1,3,110,14,14,11,17,11,17,0,0.183493772791735,1,14,13.7823480810476
1,1,140,28,7,14,28,7,14,1,0.0382782616725308,1,16.3333333333333,14
1,3,200,11,14,17,17,11,14,1,0.0452376000921504,1,14,13.7823480810476
2,2,200,5,14,5,23,23,14,1,0.00410664586433995,1,14,11.7203871786732
2,3,170,17,11,11,17,14,14,1,0.0670281849470484,1,14,13.7823480810476
2,2,50,23,5,14,23,5,14,0,0.00794778317413147,1,14,11.7203871786732
2,3,170,11,17,17,14,14,11,1,0.212809754172667,1,14,13.7823480810476
2,1,110,28,14,14,28,7,7,0,0.117615801615102,1,16.3333333333333,14
1,3,110,11,14,17,17,14,11,0,0.102370901528957,1,14,13.7823480810476
1,2,140,23,23,5,14,14,5,0,0.153206801365741,1,14,11.7203871786732
1,3,200,14,11,11,14,17,17,1,0.913976749384346,1,14,13.7823480810476
2,1,110,28,7,7,28,14,14,0,0.250406782227401,1,16.3333333333333,14
2,3,140,11,17,14,11,14,17,0,0.0211936172900096,1,14,13.7823480810476
1,2,140,5,23,14,14,23,5,0,0.000127603955661471,1,14,11.7203871786732
2,1,170,14,14,28,7,28,7,0,1.15941299610677,1,16.3333333333333,14
1,1,50,28,7,28,14,14,7,0,0.0258529416987585,1,16.3333333333333,14
1,1,110,14,28,7,7,28,14,0,0.370677597973554,1,16.3333333333333,14
2,2,140,5,5,23,14,23,14,0,0.0874096376319358,1,14,11.7203871786732
1,1,200,7,28,14,7,14,28,1,0.0561949275988809,1,16.3333333333333,14
1,3,170,14,11,17,11,14,17,0,0.304957384579211,1,14,13.7823480810476
1,1,140,28,7,28,14,14,7,0,0.0696724886620359,1,16.3333333333333,14
2,2,170,14,23,5,5,23,14,0,0.000116765720122203,1,14,11.7203871786732
2,1,230,14,7,28,7,28,14,1,0.593323382877315,1,16.3333333333333,14
2,2,140,14,23,23,5,5,14,0,0.233910665645453,1,14,11.7203871786732
2,1,200,14,7,28,14,7,28,0,1.13065280602041,1,16.3333333333333,14
1,2,80,23,5,14,23,5,14,0,0.061186485442704,1,14,11.7203871786732
2,3,230,17,11,17,14,11,14,1,0.000118235629088304,1,14,13.7823480810476
2,2,230,23,14,5,5,14,23,1,0.000154802924953401,1,14,11.7203871786732
1,3,50,14,17,11,17,14,11,0,0.000118333373393398,1,14,13.7823480810476
2,1,80,7,14,28,14,7,28,0,0.0486509335169103,1,16.3333333333333,14
1,2,110,14,23,23,14,5,5,0,0.000119780726890895,1,14,11.7203871786732
2,3,200,14,17,11,17,11,14,1,0.000122070176985289,1,14,13.7823480810476
1,3,50,11,17,17,14,14,11,0,0.000140130142426642,1,14,13.7823480810476
1,1,50,28,28,7,7,14,14,0,0.0540732388244578,1,16.3333333333333,14
2,1,200,28,14,14,7,7,28,1,0.0249640598349288,1,16.3333333333333,14
2,2,140,23,14,23,5,5,14,0,0.352453705874723,1,14,11.7203871786732
2,2,110,5,23,14,23,5,14,0,0.0866084202825732,1,14,11.7203871786732
2,1,50,14,7,7,28,28,14,0,0.0254377128730994,1,16.3333333333333,14
2,2,200,5,5,23,14,23,14,1,0.000119299528705596,1,14,11.7203871786732
2,2,50,5,14,23,14,23,5,0,0.115167612430923,1,14,11.7203871786732
1,3,140,11,11,17,14,17,14,1,0.000139987286274845,1,14,13.7823480810476
2,1,50,14,28,7,28,7,14,0,0.0189037309946798,1,16.3333333333333,14
1,3,110,14,11,17,11,14,17,1,0.253755247895242,1,14,13.7823480810476
2,2,140,14,14,23,23,5,5,0,0.00652719247591449,1,14,11.7203871786732
1,2,230,14,23,14,23,5,5,1,0.353389004555538,1,14,11.7203871786732
2,1,200,7,7,28,14,14,28,1,0.0980237167768792,1,16.3333333333333,14
2,1,170,14,7,28,28,14,7,1,0.570767429930129,1,16.3333333333333,14
2,1,140,7,28,14,28,14,7,0,1.2953750870638,1,16.3333333333333,14
1,1,200,28,14,7,28,7,14,1,0.101703393335811,1,16.3333333333333,14
1,3,230,14,17,11,17,14,11,1,0.322528742015493,1,14,13.7823480810476
2,3,50,17,11,14,14,11,17,0,0.0232646900412874,1,14,13.7823480810476
1,3,200,11,14,17,11,17,14,1,0.0542196734140816,1,14,13.7823480810476
2,1,230,28,7,14,14,28,7,1,0.00012900619640277,1,16.3333333333333,14
1,1,80,7,7,28,14,14,28,0,0.105779377860017,1,16.3333333333333,14
2,3,200,17,17,11,14,14,11,1,0.236636092589833,1,14,13.7823480810476
1,1,80,7,14,14,28,7,28,0,0.109411799263398,1,16.3333333333333,14
1,1,50,14,7,28,28,7,14,0,0.0339572608618255,1,16.3333333333333,14
1,1,80,7,14,14,28,28,7,0,0.000152302949572913,1,16.3333333333333,14
1,2,80,14,5,14,23,5,23,0,1.25370912328344,1,14,11.7203871786732
2,2,200,5,14,23,14,5,23,1,0.106065329815465,1,14,11.7203871786732
2,1,80,14,7,28,14,7,28,0,0.0189247834096022,1,16.3333333333333,14
2,3,140,17,14,17,11,14,11,1,0.217770428874246,1,14,13.7823480810476
1,1,200,14,7,14,28,28,7,1,0.186487892468904,1,16.3333333333333,14
1,2,200,5,14,23,23,5,14,1,0.000132070074869262,1,14,11.7203871786732
2,3,170,14,11,17,17,11,14,1,0.000130295656163071,1,14,13.7823480810476
2,3,170,11,14,17,14,17,11,1,0.000132137743094063,1,14,13.7823480810476
1,2,110,5,23,5,14,23,14,0,0.0178780347432621,1,14,11.7203871786732
1,1,170,7,28,28,14,14,7,1,0.104719663161632,1,16.3333333333333,14
1,1,200,7,14,14,7,28,28,1,0.000127442302982672,1,16.3333333333333,14
1,1,230,14,7,28,28,14,7,1,0.0722385901717644,1,16.3333333333333,14
2,3,200,14,17,14,17,11,11,1,0.000132145261886762,1,14,13.7823480810476
1,2,110,23,5,14,14,23,5,0,0.0159729866063572,1,14,11.7203871786732
1,3,110,14,17,17,14,11,11,0,0.0588794489458451,1,14,13.7823480810476
1,3,170,17,14,11,14,17,11,1,0.0197049370653986,1,14,13.7823480810476
2,2,140,14,5,23,23,5,14,1,0.252623225666866,1,14,11.7203871786732
2,2,170,23,23,5,14,5,14,1,0.361429023626442,1,14,11.7203871786732
2,2,50,14,23,5,14,5,23,0,0.0362019483736731,1,14,11.7203871786732
1,3,230,14,17,11,14,11,17,1,0.000131243015857763,1,14,13.7823480810476
1,3,170,14,17,17,11,11,14,1,0.466033439848616,1,14,13.7823480810476
1,2,200,5,23,14,5,23,14,1,0.116751543559076,1,14,11.7203871786732
1,3,170,17,14,11,11,17,14,1,0.199519288933516,1,14,13.7823480810476
2,1,110,7,14,28,28,14,7,0,0.0722846310536625,1,16.3333333333333,14
2,1,80,28,14,7,14,28,7,0,0.083099354756996,1,16.3333333333333,14
1,1,230,7,28,14,28,7,14,1,0.000139712852615048,1,16.3333333333333,14
1,3,80,17,17,11,14,14,11,0,0.0567500384486266,1,14,13.7823480810476
1,2,200,5,5,23,14,23,14,1,0.000134746738694957,1,14,11.7203871786732
2,1,110,28,7,28,14,7,14,0,0.226406562133889,1,16.3333333333333,14
1,2,80,14,5,5,23,14,23,0,0.145277277402784,1,14,11.7203871786732
1,1,50,28,14,7,7,14,28,0,0.064070959628225,1,16.3333333333333,14
1,1,80,7,28,28,14,14,7,0,0.00012170927857369,1,16.3333333333333,14
2,1,80,7,14,28,28,7,14,0,0.0497969255275166,1,16.3333333333333,14
2,1,110,28,7,14,14,7,28,0,0.0326269925462839,1,16.3333333333333,14
1,3,200,14,11,11,14,17,17,1,0.323431383136267,1,14,13.7823480810476
1,3,230,11,14,17,17,11,14,1,0.060209897711502,1,14,13.7823480810476
2,2,170,23,23,14,5,5,14,1,0.0549776205298258,1,14,11.7203871786732
1,1,230,14,14,7,7,28,28,1,0.000121746872537187,1,16.3333333333333,14
1,3,80,17,11,14,14,17,11,0,0.000118265705168596,1,14,13.7823480810476
2,2,230,14,23,14,5,23,5,1,0.0939041800656923,1,14,11.7203871786732
2,2,230,23,5,5,14,23,14,1,0.000122156642646587,1,14,11.7203871786732
1,1,230,7,14,28,7,14,28,1,0.104473635608883,1,16.3333333333333,14
1,3,50,17,14,11,11,14,17,0,0.000119216822895396,1,14,13.7823480810476
2,2,200,23,5,23,14,5,14,1,0.000137626409014047,1,14,11.7203871786732
2,1,80,7,14,28,28,7,14,0,1.32519203323227,1,16.3333333333333,14
2,3,110,11,11,17,14,14,17,1,0.333546166649285,1,14,13.7823480810476
1,1,110,7,14,7,28,28,14,0,0.150302996551545,1,16.3333333333333,14
2,1,50,14,7,28,7,14,28,0,0.00344883306024713,1,16.3333333333333,14
2,2,80,5,23,14,23,14,5,0,0.000136216648570553,1,14,11.7203871786732
2,2,140,14,23,5,5,14,23,0,0.144900142172446,1,14,11.7203871786732
2,2,50,14,23,5,5,14,23,0,0.000120573951789993,1,14,11.7203871786732
2,2,140,23,5,14,23,14,5,0,0.806774976333145,1,14,11.7203871786732
2,1,170,7,14,14,28,7,28,1,0.0432717781432075,1,16.3333333333333,14
1,2,230,14,23,5,5,23,14,1,0.000124949846394884,1,14,11.7203871786732
1,2,170,14,5,23,14,5,23,1,0.000121769428005791,1,14,11.7203871786732
1,3,230,11,11,14,17,14,17,1,0.000121615295029187,1,14,13.7823480810476
1,3,80,14,17,14,17,11,11,0,0.202818187442062,1,14,13.7823480810476
1,3,230,17,14,14,17,11,11,1,0.000119047652333393,1,14,13.7823480810476
1,3,170,14,17,11,14,11,17,1,0.0104740805800247,1,14,13.7823480810476
1,2,140,23,14,14,5,23,5,0,0.143383108854323,1,14,11.7203871786732
2,3,200,17,14,14,11,17,11,1,0.126234814748386,1,14,13.7823480810476
2,3,200,17,11,17,11,14,14,1,0.0709854564038324,1,14,13.7823480810476
1,3,230,11,14,17,11,14,17,1,0.000119769448247098,1,14,13.7823480810476
1,3,200,17,14,14,11,17,11,1,0.000119528850518691,1,14,13.7823480810476
2,1,230,28,7,7,14,28,14,1,0.0575721127261204,1,16.3333333333333,14
1,1,170,28,7,14,14,7,28,1,0.000130167837596673,1,16.3333333333333,14
1,2,50,5,14,5,23,23,14,0,0.0493512571638348,1,14,11.7203871786732
1,3,110,14,11,17,11,14,17,0,0.144267904293883,1,14,13.7823480810476
2,3,80,17,17,11,14,11,14,0,0.000141408324452641,1,14,13.7823480810476
1,1,50,7,28,14,28,7,14,0,0.081930268999713,1,16.3333333333333,14
1,2,200,5,5,23,23,14,14,1,0.000125216761261981,1,14,11.7203871786732
2,1,140,14,7,28,28,14,7,0,0.769580861439863,1,16.3333333333333,14
2,1,140,28,14,28,7,14,7,1,0.486170094291992,1,16.3333333333333,14
1,2,200,14,23,5,14,23,5,1,0.0348804882378317,1,14,11.7203871786732
2,1,230,7,14,14,28,28,7,0,0.161685864806714,1,16.3333333333333,14
2,1,170,28,7,14,14,7,28,1,0.000128810708702076,1,16.3333333333333,14
2,3,80,11,17,14,11,17,14,0,0.000123694220746984,1,14,13.7823480810476
1,3,200,14,17,11,17,14,11,1,0.0722552516544965,1,14,13.7823480810476
2,2,140,23,14,14,5,23,5,0,0.000142201549351739,1,14,11.7203871786732
1,3,140,17,11,14,17,14,11,1,0.0419610021081098,1,14,13.7823480810476
1,1,110,28,7,14,7,14,28,0,0.142863411175313,1,16.3333333333333,14
1,3,140,11,17,14,14,11,17,0,0.881661283719041,1,14,13.7823480810476
1,3,140,11,17,14,14,17,11,0,0.118424864748704,1,14,13.7823480810476
1,1,80,14,14,28,7,7,28,0,0.000152190168591915,1,16.3333333333333,14
2,2,50,5,14,23,23,14,5,0,0.000131446020532167,1,14,11.7203871786732
1,1,230,28,14,28,7,14,7,1,0.0689077897350217,1,16.3333333333333,14
2,3,50,17,11,17,14,14,11,0,0.0178089339478902,1,14,13.7823480810476
1,1,170,28,7,28,7,14,14,1,0.756643640701441,1,16.3333333333333,14
