motion,mIntv,position,soa,lenSeq,mi,resp,rt,lastIntv,sub
2,3,3,140,1,22.5714285714286,1,0.294155680183223,9,1
1,2,3,140,0,15,1,0.320959244715596,23,1
1,2,3,140,1,14,1,0.261651404794861,14,1
2,3,3,50,1,21.1428571428571,0,0.302194971377787,15,1
1,1,3,110,2,6.75,0,0.355157197928918,19,1
1,2,3,50,2,14,0,0.267854704806837,7,1
2,2,3,200,2,14.625,1,0.552491073973442,13,1
2,3,3,230,2,20.5,1,0.251961641803803,14,1
1,1,3,170,1,6.85714285714286,1,0.36291315937865,12,1
1,3,3,80,2,21.5,0,0.265931921874198,21,1
2,1,3,110,0,6.33333333333333,0,0.286885236752596,20,1
2,1,3,230,1,7,1,0.331406284239847,9,1
1,1,3,50,1,5.71428571428571,0,1.43836252251327,14,1
1,1,3,50,1,7.42857142857143,0,0.300809784521789,21,1
1,3,3,50,1,21.4285714285714,0,0.281366816014781,5,1
2,2,3,50,1,13.5714285714286,0,0.284185200184538,21,1
2,3,3,80,2,20.375,0,0.248662863587413,19,1
2,2,3,80,1,13.8571428571429,0,0.253461232719872,23,1
1,2,3,170,2,14.125,0,0.384155781343452,9,1
2,3,3,50,2,21.25,0,0.244554926265778,8,1
1,2,3,80,1,14,0,0.225320303822514,6,1
2,1,3,200,0,6.83333333333333,1,0.270265182413198,21,1
1,2,3,50,1,14.4285714285714,0,0.227032947488908,15,1
1,3,3,230,1,21.1428571428571,1,0.253498265921621,19,1
2,1,3,200,1,7.42857142857143,1,0.266440428222324,15,1
1,1,3,110,2,7,0,0.257393064028292,12,1
1,2,3,200,1,14.5714285714286,1,0.204038148698714,19,1
1,1,3,140,1,7.42857142857143,0,0.212914662428886,16,1
1,3,3,140,0,21,1,0.451601940841726,8,1
2,2,3,80,1,14,0,0.154307799251512,14,1
2,2,3,50,1,14.8571428571429,0,0.221080192067802,20,1
2,3,3,140,1,20.5714285714286,1,0.256666027579854,7,1
2,2,3,50,1,13.7142857142857,0,0.259390405837223,9,1
