motion,mIntv,position,soa,lenSeq,mi,resp,rt,lastIntv,sub
1,2,3,80,2,16,0,0.261667272035993,13,1
2,3,3,80,2,23,0,0.202028808314935,13,1
1,1,3,200,1,9,0,0.258873112714355,6,1
2,3,3,110,2,23,0,0.211287875037669,20,1
2,1,3,170,1,9,0,0.210177021766867,6,1
1,3,3,230,0,23,1,0.258684133452334,13,1
1,3,3,200,2,23,1,0.187071066942735,6,1
2,1,3,230,1,9,1,0.141962563266134,20,1
1,3,3,50,0,23,0,0.181648396977835,20,1
1,2,3,230,0,16,0,0.294839612375654,6,1
2,1,3,140,1,9,0,0.351658597486676,6,1
1,3,3,200,1,23,1,0.190535523903236,6,1
2,1,3,200,1,9,0,0.167458516145416,6,1
2,1,3,80,0,9,0,0.152417651559517,20,1
1,1,3,80,2,9,0,0.155382779055799,20,1
1,3,3,170,1,23,1,0.187858171651897,20,1
1,2,3,80,0,16,0,0.172692195570562,13,1
1,2,3,230,1,16,1,0.157453539781272,6,1
2,3,3,170,1,23,1,0.202068206410331,20,1
1,2,3,50,0,16,0,0.238917219576251,13,1
1,2,3,230,1,16,0,0.243570882390486,20,1
2,2,3,110,1,16,0,0.218270525252592,6,1
2,2,3,200,0,16,1,0.181040053586912,20,1
1,3,3,50,0,23,0,0.203787921858748,13,1
2,2,3,230,0,16,1,0.162463800439582,13,1
2,3,3,110,0,23,1,0.242053691177716,20,1
2,3,3,200,0,23,1,0.216582865865348,20,1
2,2,3,230,1,16,1,0.227173163293628,13,1
1,2,3,80,1,16,0,0.165932610740128,20,1
2,1,3,80,0,9,0,0.204856407148327,6,1
2,3,3,50,2,23,0,0.215356528809934,20,1
2,2,3,50,1,16,0,0.212149106810102,20,1
2,3,3,50,1,23,0,0.27394168378305,20,1
1,1,3,200,2,9,0,0.390719798499049,13,1
1,2,3,110,1,16,1,0.311840223785111,20,1
2,3,3,200,1,23,1,0.24023239406597,6,1
2,3,3,80,2,23,0,0.193328465189552,20,1
1,2,3,170,1,16,1,0.141989296076645,6,1
1,3,3,230,1,23,1,0.190582519659074,13,1
1,2,3,110,2,16,0,0.227244316702127,6,1
1,2,3,230,0,16,1,0.190048987533373,13,1
1,3,3,80,1,23,0,0.158561167521839,13,1
1,1,3,110,0,9,0,0.18754061099753,20,1
1,3,3,170,1,23,1,0.167943902146362,20,1
2,2,3,110,2,16,1,0.144515552128723,13,1
2,1,3,50,1,9,0,0.224695440578216,20,1
1,3,3,110,0,23,0,0.211338863235142,13,1
1,1,3,110,1,9,0,0.158604073094466,6,1
2,2,3,170,2,16,1,0.138033103557973,6,1
2,3,3,80,1,23,0,0.12462365457759,13,1
2,2,3,80,1,16,0,0.145388280023326,20,1
1,1,3,230,1,9,0,0.174315333064442,6,1
1,1,3,80,2,9,0,0.241177301668358,6,1
1,1,3,110,1,9,0,0.171869027315552,20,1
1,1,3,140,1,9,1,0.160847275659762,20,1
2,2,3,230,0,16,1,0.203536033463024,20,1
2,3,3,50,2,23,0,0.226784952988965,6,1
1,1,3,230,1,9,1,0.148719445118331,20,1
2,2,3,110,0,16,0,0.222974969499774,6,1
1,2,3,110,2,16,0,0.181652896928426,6,1
2,3,3,200,2,23,1,0.197991387307411,20,1
2,3,3,200,0,23,1,0.276506980786507,20,1
1,1,3,230,1,9,1,0.163354855212674,6,1
2,2,3,170,2,16,1,0.144049233604164,6,1
2,2,3,200,1,16,1,0.152663103930536,13,1
2,3,3,140,0,23,0,0.209271985931991,6,1
1,2,3,80,2,16,0,0.217999610733386,13,1
2,3,3,80,1,23,0,0.216562866065942,20,1
1,3,3,140,0,23,0,0.163084936928499,13,1
1,1,3,50,1,9,0,0.16808705481526,6,1
1,3,3,170,1,23,1,0.165217911300715,13,1
1,3,3,50,1,23,0,0.225784636179014,13,1
2,3,3,80,2,23,0,0.248174184816889,13,1
1,3,3,200,0,23,1,0.234743104480003,6,1
1,2,3,110,1,16,0,0.191512995083031,6,1
2,2,3,230,1,16,1,0.220208497859858,20,1
1,1,3,110,0,9,0,0.135142065526452,13,1
2,3,3,50,0,23,0,0.265852962205827,13,1
2,3,3,110,1,23,0,0.216280466709577,20,1
1,2,3,50,2,16,0,0.224963956625288,6,1
2,1,3,170,2,9,1,0.165799473004881,13,1
1,2,3,230,2,16,1,0.182352754414751,20,1
2,3,3,50,1,23,0,0.20093421427373,20,1
1,3,3,140,1,23,0,0.175363754642603,6,1
1,1,3,50,2,9,0,0.142141561434983,13,1
1,2,3,50,2,16,0,0.267776604137907,6,1
1,1,3,200,2,9,0,0.250557739323995,6,1
1,1,3,200,1,9,1,0.152147586661158,13,1
1,1,3,140,0,9,0,0.227786675804964,20,1
2,1,3,50,1,9,0,0.198668109693244,6,1
1,1,3,230,2,9,1,0.195466883113113,6,1
1,2,3,140,1,16,0,0.242289914320281,13,1
2,3,3,230,1,23,1,0.227115242840227,13,1
2,1,3,110,1,9,0,0.174049527515308,13,1
1,2,3,200,2,16,1,0.124713082230301,13,1
1,3,3,230,0,23,1,0.22975406916521,6,1
1,2,3,110,1,16,0,0.156536583017441,6,1
2,3,3,170,1,23,1,0.267408965049981,20,1
2,3,3,230,1,23,1,0.22776202192108,6,1
1,2,3,80,1,16,0,0.200482320415176,13,1
2,3,3,230,1,23,1,0.0610311637246923,13,1
1,3,3,200,0,23,1,0.219703533111897,6,1
1,1,3,230,1,9,0,0.23059339890824,13,1
2,3,3,170,1,23,1,0.158118499126431,20,1
2,2,3,50,1,16,0,0.1748464366392,13,1
1,1,3,50,2,9,0,0.210855432102107,13,1
2,2,3,200,0,16,1,0.121631880738278,20,1
2,2,3,110,1,16,1,0.0584100026317174,13,1
2,3,3,50,1,23,0,0.253018251692993,6,1
1,1,3,170,1,9,0,0.220321654596773,13,1
2,3,3,230,2,23,1,0.264705019089888,20,1
1,2,3,80,0,16,0,0.213474837575632,13,1
2,1,3,170,2,9,1,0.222100418315677,20,1
2,2,3,140,0,16,0,0.197397874595481,6,1
2,1,3,140,1,9,0,0.158306549830741,6,1
2,2,3,140,1,16,1,0.246975727179233,20,1
2,1,3,200,1,9,1,0.159790857920598,20,1
2,2,3,50,2,16,0,0.213268715629965,20,1
1,2,3,170,1,16,0,0.199947013872588,6,1
2,2,3,200,1,16,1,0.24661992255642,13,1
1,3,3,170,2,23,1,0.267483693605755,20,1
1,1,3,140,1,9,0,0.21313284860662,6,1
1,3,3,200,2,23,1,0.184406252159533,13,1
1,1,3,50,2,9,0,0.281367908395623,20,1
1,2,3,200,1,16,1,0.228009974267479,6,1
2,1,3,50,2,9,0,0.292902605920972,20,1
1,2,3,230,0,16,1,0.195599641152512,6,1
1,1,3,80,1,9,0,0.221502871809207,20,1
1,1,3,50,1,9,0,0.205355913301901,6,1
1,3,3,80,2,23,0,0.193780039506237,6,1
1,3,3,230,1,23,1,0.236236529017333,6,1
2,3,3,230,0,23,1,0.330864382114669,6,1
2,2,3,140,1,16,1,0.517516457111924,13,1
2,2,3,140,1,16,1,0.202094048250729,13,1
1,3,3,110,2,23,0,0.236513823165296,20,1
1,3,3,110,1,23,1,0.289030502761307,13,1
1,2,3,110,0,16,0,0.193766761447478,6,1
1,1,3,230,2,9,0,0.194519415385003,20,1
2,3,3,110,1,23,0,0.269024042470846,6,1
1,2,3,110,1,16,0,0.155742906939849,6,1
2,1,3,110,1,9,0,0.209915547002311,20,1
1,1,3,230,2,9,1,0.176712421267439,13,1
1,1,3,200,2,9,1,0.181536180080002,20,1
1,3,3,140,1,23,1,0.20815649737051,6,1
1,1,3,140,2,9,0,0.43499113782309,6,1
1,1,3,170,1,9,0,0.256738202271663,20,1
1,3,3,140,2,23,1,0.13501273602742,6,1
2,2,3,140,0,16,0,0.275542088427756,13,1
2,2,3,200,0,16,1,0.214164510958653,20,1
1,2,3,140,2,16,0,0.336757400640636,6,1
1,3,3,230,1,23,1,0.157190899615671,20,1
1,2,3,170,1,16,1,0.147929633665626,13,1
2,1,3,140,0,9,0,0.130948420555796,20,1
1,3,3,50,1,23,0,0.265463090261619,20,1
2,1,3,50,1,9,0,0.146414555216325,13,1
2,1,3,110,1,9,0,0.123384712394909,13,1
2,3,3,170,1,23,1,4.93793334552538,20,1
1,3,3,140,1,23,1,0.15101401933498,20,1
2,1,3,50,2,9,0,0.163918266731343,20,1
1,1,3,110,0,9,0,0.20543183733389,20,1
2,1,3,230,1,9,1,0.188368805516802,6,1
1,1,3,50,0,9,0,0.171405558383412,13,1
2,2,3,170,0,16,1,0.136255753361183,20,1
2,2,3,50,0,16,0,0.191093360284867,20,1
2,2,3,110,2,16,1,0.226371133925568,20,1
2,1,3,50,2,9,0,0.234631282317423,6,1
2,3,3,50,1,23,0,0.235188400663901,13,1
2,3,3,170,2,23,1,0.259522790267511,13,1
1,2,3,230,1,16,1,0.196176105164341,13,1
1,1,3,50,0,9,0,0.223840629794722,13,1
2,1,3,140,1,9,0,0.196751948886231,13,1
2,1,3,140,2,9,1,0.237542560738802,20,1
2,2,3,50,1,16,0,0.399220312847319,6,1
1,2,3,230,1,16,1,0.333764957638778,20,1
1,1,3,80,0,9,0,0.194659594399127,13,1
2,2,3,170,0,16,0,0.501539312652312,20,1
1,1,3,140,2,9,0,0.320321888702892,13,1
1,1,3,200,2,9,0,0.165107153035933,13,1
1,1,3,230,1,9,1,0.112918966311554,13,1
1,2,3,170,1,16,1,0.140345252781117,13,1
2,2,3,110,1,16,0,0.139099194129813,6,1
1,1,3,140,0,9,0,0.262109752464312,6,1
2,3,3,140,2,23,1,0.184539318463067,20,1
2,1,3,200,0,9,1,0.179458393111418,13,1
2,2,3,50,0,16,0,0.216304067969759,13,1
2,2,3,230,0,16,1,0.175357194559183,6,1
1,2,3,230,1,16,1,0.162112101039384,13,1
1,3,3,80,0,23,0,0.221525089626084,6,1
1,2,3,140,1,16,1,0.158184389430971,13,1
2,1,3,80,1,9,0,0.146988981658069,6,1
2,2,3,110,1,16,0,0.238914494038909,6,1
1,3,3,230,1,23,1,0.24029835579131,13,1
2,1,3,50,0,9,0,0.121220888711832,6,1
1,1,3,110,2,9,0,0.212768671884987,20,1
2,1,3,50,1,9,0,0.215709664287715,13,1
2,2,3,110,1,16,0,0.266382577076001,6,1
1,1,3,170,0,9,0,0.271255685009237,6,1
2,1,3,200,1,9,1,0.216073277100804,20,1
1,3,3,200,2,23,1,0.204433561855694,20,1
2,3,3,170,1,23,1,0.208940744967549,20,1
2,1,3,80,1,9,0,0.143860070129449,6,1
2,2,3,80,2,16,0,0.178518064411037,13,1
2,3,3,110,0,23,0,0.241163264217903,13,1
1,1,3,80,0,9,0,0.202178303024994,20,1
2,1,3,170,0,9,0,0.819133560147748,20,1
2,3,3,200,1,23,1,0.213408514948242,20,1
1,1,3,170,1,9,1,0.244309243240423,13,1
2,2,3,80,0,16,0,0.251070162645192,20,1
1,2,3,200,1,16,1,0.16378204256398,6,1
1,3,3,170,2,23,1,0.104112601715315,20,1
1,1,3,110,2,9,0,0.216974203955033,6,1
1,3,3,200,1,23,1,0.233526868829358,20,1
2,2,3,50,1,16,0,1.03095676052544,20,1
2,3,3,170,1,23,1,0.279067319199385,20,1
2,2,3,140,1,16,1,0.474291058191739,6,1
1,2,3,140,0,16,0,0.53698141543282,6,1
1,2,3,170,1,16,1,0.187552565763326,13,1
2,2,3,230,1,16,1,0.23821424182097,13,1
1,3,3,200,0,23,1,0.247675385417097,6,1
1,1,3,110,0,9,0,0.17858842834903,6,1
1,3,3,80,2,23,0,0.326960155227425,20,1
2,1,3,170,2,9,0,0.317728761154285,13,1
1,3,3,230,0,23,1,0.21026914864342,20,1
2,3,3,170,0,23,1,0.180908107573487,20,1
1,2,3,140,1,16,0,0.445670678698662,20,1
2,3,3,140,1,23,1,0.374024589975306,6,1
1,3,3,80,1,23,0,0.237344371042127,6,1
2,3,3,200,2,23,1,0.291712031659699,20,1
1,1,3,200,1,9,1,0.169545983466378,6,1
2,1,3,50,0,9,0,0.265937480133289,6,1
2,1,3,80,1,9,0,0.760825601584656,13,1
2,3,3,110,0,23,0,0.17122927823948,20,1
2,1,3,230,1,9,1,0.152054429723648,20,1
1,3,3,230,0,23,1,0.389144562770525,13,1
1,2,3,200,1,16,1,0.277766193441494,20,1
1,3,3,200,1,23,1,0.241432678751153,13,1
2,1,3,200,2,9,1,0.0822791977516317,6,1
1,1,3,230,2,9,1,0.715130867076368,20,1
1,2,3,200,0,16,1,0.218101301419665,6,1
2,2,3,200,0,16,1,0.262806128783268,6,1
1,2,3,140,0,16,0,0.301586599587608,13,1
1,1,3,110,2,9,0,0.106408852610912,20,1
1,2,3,140,1,16,0,0.177155213717924,6,1
2,2,3,110,2,16,0,0.0897586285827856,20,1
2,2,3,110,2,16,0,0.10640659323326,20,1
1,3,3,50,2,23,0,0.187713725765207,20,1
2,1,3,80,0,9,0,0.211287450230884,13,1
2,2,3,50,1,16,0,0.217944449646893,20,1
1,1,3,200,1,9,1,0.106855310437822,20,1
2,2,3,170,1,16,1,0.184593626177957,20,1
1,1,3,110,0,9,0,0.207583469411475,13,1
1,1,3,140,0,9,0,0.264607730608986,20,1
2,1,3,200,0,9,1,0.176092457699269,20,1
2,2,3,80,0,16,0,0.254902130873234,13,1
2,2,3,140,0,16,0,0.185674069984088,20,1
2,3,3,140,2,23,1,0.240697971996269,20,1
1,3,3,170,0,23,1,0.241304431943718,6,1
2,3,3,80,1,23,0,0.210562544129061,20,1
2,2,3,50,2,16,0,0.107244742532203,20,1
2,2,3,170,0,16,1,0.242089747200225,13,1
2,2,3,200,0,16,1,0.496819436233636,6,1
1,2,3,50,2,16,0,0.135409739476017,20,1
1,3,3,110,1,23,0,0.13996392210538,6,1
2,3,3,80,2,23,1,0.188463819577009,20,1
1,1,3,140,2,9,0,0.1902630191762,13,1
2,2,3,170,1,16,0,0.198936043034337,6,1
1,3,3,50,2,23,0,0.157470844114869,20,1
1,1,3,80,2,9,0,0.210281167317589,13,1
1,2,3,200,2,16,1,0.176901088507293,20,1
1,3,3,80,1,23,0,0.182118516215269,6,1
2,1,3,80,2,9,0,0.16699305099246,13,1
2,2,3,230,1,16,1,0.169694673670165,13,1
1,1,3,80,1,9,0,0.172620899305912,13,1
1,3,3,200,1,23,1,0.157014108193835,6,1
1,3,3,140,1,23,1,0.145597834267392,6,1
2,1,3,140,1,9,1,0.18848610130226,6,1
1,1,3,140,1,9,1,0.205340894659457,6,1
2,3,3,140,1,23,1,0.21685191949291,6,1
2,1,3,170,1,9,1,0.21856190948165,13,1
2,3,3,110,1,23,1,0.130326069793227,13,1
2,3,3,200,1,23,1,0.242780736356508,13,1
2,1,3,200,2,9,0,0.21558156034007,13,1
1,1,3,200,0,9,1,0.446408095955121,6,1
2,3,3,110,1,23,0,0.202800007176847,20,1
2,1,3,230,1,9,1,0.0637336999279796,6,1
1,3,3,200,0,23,1,0.178364468240034,20,1
2,1,3,230,1,9,1,0.162852146080695,20,1
2,1,3,80,1,9,0,0.205789544193976,13,1
1,2,3,80,1,16,0,0.462542080906132,6,1
1,1,3,170,1,9,0,0.31425746215973,13,1
2,1,3,230,1,9,0,0.165075420278299,6,1
2,1,3,140,2,9,1,0.383933935743698,20,1
1,2,3,170,0,16,0,0.368568206067721,20,1
1,2,3,230,1,16,1,0.178568191713566,13,1
1,2,3,50,1,16,0,0.1733287003226,13,1
1,3,3,170,1,23,1,0.243827511338168,13,1
1,2,3,50,2,16,0,0.190922737972869,20,1
2,3,3,200,1,23,1,0.459342760328582,13,1
1,2,3,200,1,16,1,0.197908406953502,6,1
1,2,3,110,1,16,0,0.390655325474654,13,1
2,2,3,50,2,16,0,0.24924074531009,6,1
1,3,3,80,1,23,0,0.205758604661241,20,1
2,1,3,80,1,9,0,0.226564940210665,20,1
2,2,3,80,1,16,0,0.213965727281902,13,1
2,1,3,140,0,9,1,0.323278177940665,6,1
2,3,3,80,1,23,0,0.219707867658144,6,1
2,1,3,50,1,9,0,0.245305447315332,13,1
2,3,3,50,1,23,0,0.186778321822203,20,1
1,1,3,50,0,9,0,0.265734095002699,13,1
2,3,3,80,1,23,0,0.200234033487504,13,1
2,1,3,170,0,9,1,0.287174044351559,13,1
2,3,3,140,1,23,1,0.18813357484396,6,1
1,3,3,50,1,23,0,0.145366073484183,6,1
2,2,3,50,1,16,0,0.354130402967712,13,1
2,3,3,230,2,23,1,0.125382921229175,13,1
2,1,3,230,2,9,1,0.20417947799433,6,1
1,1,3,80,0,9,0,0.161184941371175,13,1
2,3,3,200,1,23,1,0.157659240678186,20,1
1,3,3,170,1,23,1,0.136218734940485,20,1
2,2,3,140,1,16,0,0.172932753252098,13,1
1,2,3,200,2,16,0,0.209494457336405,20,1
1,3,3,80,1,23,0,0.111830481229845,13,1
2,2,3,200,2,16,1,0.195762872561318,13,1
1,2,3,80,1,16,0,0.16251288640342,6,1
1,2,3,140,2,16,0,0.19036161214899,6,1
2,1,3,110,1,9,0,0.231288384260552,13,1
1,3,3,80,1,23,0,0.198843062786182,20,1
1,3,3,140,1,23,1,0.177330091628392,13,1
2,2,3,200,0,16,1,0.32667580476118,6,1
2,3,3,200,1,23,1,0.189144703574129,20,1
2,3,3,200,2,23,1,0.193538102139428,6,1
2,1,3,200,0,9,1,0.210458477526117,13,1
1,3,3,80,1,23,0,0.11499431721677,20,1
1,3,3,110,2,23,0,0.0895269129141525,13,1
2,1,3,50,0,9,0,0.22330116916055,20,1
2,3,3,50,1,23,0,0.191821788906964,6,1
1,1,3,230,2,9,1,0.21536027689217,13,1
2,3,3,170,2,23,1,0.255780866227724,20,1
1,2,3,140,2,16,0,0.100391669941018,20,1
1,2,3,110,2,16,0,0.0790529714322474,20,1
2,1,3,110,1,9,0,0.115225066729181,6,1
2,1,3,140,0,9,0,0.178248146123224,13,1
2,2,3,140,0,16,1,0.256983282466535,13,1
1,3,3,140,2,23,1,0.171380863150262,6,1
2,3,3,110,1,23,0,0.123871049512672,13,1
1,2,3,50,1,16,0,0.152646393577015,13,1
2,1,3,170,1,9,0,0.187493412235199,6,1
1,3,3,140,1,23,1,0.13705607222073,6,1
1,3,3,50,1,23,0,0.176282098611409,6,1
1,3,3,50,1,23,0,0.162839379296202,6,1
1,2,3,80,1,16,0,0.48165249023441,20,1
1,1,3,200,1,9,0,0.132441420286341,6,1
1,1,3,110,1,9,0,0.0773935110046295,20,1
2,3,3,140,2,23,1,0.152840214897878,13,1
1,2,3,110,0,16,0,0.151681535051466,6,1
1,1,3,170,0,9,0,0.262692453252384,20,1
1,2,3,140,2,16,0,0.553259026735759,6,1
1,2,3,140,1,16,1,0.40033758710706,20,1
1,2,3,170,1,16,1,0.166838552577246,13,1
2,2,3,230,1,16,1,0.117521881526045,6,1
2,3,3,140,2,23,1,0.309952449904813,13,1
1,2,3,170,0,16,1,0.172691169260361,20,1
2,1,3,110,2,9,0,0.123521989178698,20,1
1,3,3,110,2,23,1,0.210040015652339,6,1
2,2,3,230,1,16,1,0.195116439339472,13,1
1,2,3,200,1,16,1,0.252570263804955,13,1
2,2,3,200,1,16,1,0.207218251351151,6,1
1,1,3,230,1,9,0,0.470116755124764,20,1
2,3,3,50,0,23,0,0.325925703429675,6,1
2,1,3,140,0,9,0,0.272854574628582,20,1
2,2,3,170,1,16,1,0.157503821217688,6,1
1,1,3,230,2,9,1,0.266363393060601,13,1
2,3,3,230,2,23,1,0.18461643421324,6,1
2,2,3,170,1,16,0,0.125410578839364,20,1
2,1,3,230,0,9,1,0.198339947641216,13,1
1,2,3,170,1,16,0,0.101066929935769,13,1
1,3,3,110,2,23,0,0.223519881204993,13,1
1,2,3,110,0,16,0,0.124311323190341,13,1
2,2,3,80,1,16,0,0.105126636430214,13,1
2,2,3,80,0,16,0,0.200903684515652,13,1
2,3,3,140,2,23,1,0.167336938447988,6,1
2,1,3,110,1,9,0,0.176234922404547,13,1
1,1,3,170,0,9,0,0.649214076751377,20,1
2,3,3,230,1,23,1,0.231542456844181,6,1
2,1,3,200,1,9,1,0.123143023141893,6,1
2,3,3,170,1,23,1,0.137672347857006,6,1
1,3,3,170,1,23,1,0.126214578114741,20,1
2,2,3,110,1,16,0,0.142939335208212,13,1
1,3,3,110,0,23,0,0.213684241443843,6,1
1,2,3,170,2,16,0,0.166254802923504,20,1
2,2,3,230,1,16,1,0.139862644951791,6,1
1,2,3,80,1,16,0,0.18657662840269,13,1
1,1,3,140,1,9,0,0.187467220774124,13,1
1,3,3,200,1,23,1,0.133959739305283,6,1
2,2,3,140,1,16,0,0.0756716978285112,13,1
2,3,3,80,0,23,0,0.166340249415953,13,1
1,2,3,200,2,16,1,0.133017320396903,13,1
1,1,3,80,0,9,0,0.0659638725483092,6,1
2,1,3,170,1,9,1,0.280925608418329,13,1
2,3,3,200,2,23,1,0.113256583153998,13,1
1,3,3,170,1,23,1,0.140599919344822,13,1
2,1,3,170,1,9,1,0.149530196202249,13,1
2,2,3,80,1,16,0,0.201584662496316,13,1
1,3,3,110,1,23,0,0.168076318081148,6,1
1,1,3,170,0,9,0,0.11098488839707,13,1
1,3,3,50,0,23,0,0.177632569728303,6,1
1,3,3,140,2,23,0,0.162646569242497,13,1
1,2,3,110,2,16,1,0.319717376103654,6,1
1,1,3,50,2,9,0,0.108576631137112,13,1
1,3,3,50,1,23,0,0.147218738700758,20,1
2,2,3,80,1,16,0,0.156665416281612,6,1
2,3,3,110,0,23,0,0.129323290599132,20,1
1,2,3,200,1,16,0,0.154041123638308,6,1
1,3,3,110,0,23,0,0.132285045950994,20,1
2,3,3,110,0,23,0,0.134959465896827,6,1
2,1,3,50,1,9,0,0.241899734111939,13,1
1,3,3,110,0,23,0,0.178549620475678,13,1
2,3,3,170,2,23,1,0.164951338847459,20,1
1,1,3,170,2,9,1,0.373417769129446,20,1
2,1,3,80,0,9,0,0.176366624062211,20,1
1,2,3,50,1,16,0,0.17918281699167,6,1
2,2,3,140,0,16,0,0.163922462175833,20,1
2,1,3,170,2,9,0,0.25278626158979,20,1
2,3,3,230,1,23,1,0.179179862134333,13,1
1,1,3,170,1,9,1,0.138155763954273,13,1
2,1,3,110,0,9,0,0.495772371781641,6,1
2,3,3,50,2,23,0,0.211082467369124,20,1
2,1,3,140,2,9,0,0.219906215246738,6,1
1,3,3,230,2,23,1,0.470257573233539,13,1
2,1,3,110,1,9,0,0.197060077309288,6,1
1,1,3,80,2,9,0,0.147949396621698,20,1
2,1,3,200,0,9,1,0.228854412976943,20,1
2,3,3,80,1,23,0,0.231423818961048,13,1
2,2,3,80,1,16,0,0.178138936717005,13,1
1,2,3,230,0,16,1,0.24064896874188,20,1
2,2,3,50,2,16,0,0.201258188397333,13,1
2,2,3,230,0,16,1,0.208015788288321,20,1
2,1,3,230,1,9,0,0.485374068619421,20,1
1,3,3,140,1,23,1,0.301806446957926,6,1
2,2,3,110,1,16,0,0.197157482325565,6,1
2,2,3,50,0,14,0,0.855953562335344,20,2
2,3,3,110,1,21,0,1.15862024859598,20,2
1,3,3,170,0,21,1,1.18890180654125,6,2
2,1,3,140,1,7,1,1.75751135634346,20,2
2,2,3,230,1,14,1,0.919558105691976,20,2
2,2,3,50,0,14,0,0.930495260472526,6,2
2,2,3,170,1,14,1,0.706979954411509,6,2
1,2,3,50,1,14,0,0.95614159150864,20,2
2,1,3,80,0,7,0,0.94937343158017,6,2
2,3,3,110,0,21,0,0.575732127148513,6,2
1,2,3,170,0,14,1,0.78840810449401,6,2
2,3,3,140,2,21,1,1.63460869539631,6,2
2,2,3,230,2,14,1,1.18048958452346,6,2
2,1,3,170,1,7,1,1.25314679070289,20,2
2,2,3,230,1,14,1,1.24780327405824,20,2
2,2,3,80,0,14,0,1.05450162062698,13,2
1,3,3,80,1,21,0,0.678799562887434,13,2
2,3,3,110,1,21,0,0.861226793982496,20,2
1,1,3,50,0,7,0,1.1839253011749,6,2
2,2,3,110,2,14,0,0.748248884665372,13,2
1,1,3,230,1,7,1,0.705592025031365,13,2
1,2,3,230,0,14,1,0.862171434673655,20,2
2,3,3,140,1,21,0,0.814480175529752,6,2
2,2,3,170,0,14,1,1.11906882328549,6,2
2,3,3,80,2,21,0,0.801189714049542,13,2
1,1,3,200,1,7,1,0.951866082712513,20,2
1,2,3,50,0,14,0,0.728475906948006,13,2
1,3,3,140,1,21,0,0.89881633715413,20,2
2,1,3,80,0,7,0,0.881535717337101,20,2
1,1,3,110,2,7,0,0.318213342652598,6,2
2,3,3,170,1,21,1,0.61690879143498,20,2
