motion,mIntv,position,soa,lenSeq,mi,resp,rt,lastIntv,sub
2,3,3,50,1,23,0,0.261889138182596,20,1
2,1,3,200,2,9,1,0.378888540100888,20,1
2,1,3,230,0,9,1,0.202554975854582,6,1
1,3,3,50,1,23,0,0.231047322824452,20,1
2,2,3,170,1,16,1,0.223716488209902,20,1
2,1,3,140,2,9,0,0.262567484613101,6,1
2,2,3,140,2,16,1,0.54914019678472,6,1
2,2,3,80,2,16,0,0.239717365508113,20,1
2,1,3,230,1,9,1,0.238573456183076,6,1
2,2,3,170,2,16,1,0.221150852859864,6,1
1,1,3,140,1,9,0,0.476026675736648,6,1
2,3,3,170,0,23,1,0.333801449745806,6,1
1,3,3,170,1,23,1,0.198202385141485,6,1
2,3,3,230,2,23,1,0.221360102597828,20,1
1,3,3,110,1,23,0,0.181850240769563,20,1
1,2,3,80,2,16,0,0.210534935391479,13,1
1,1,3,170,1,9,1,0.289430720466044,13,1
1,3,3,230,1,23,1,0.258686381548614,20,1
1,1,3,80,2,9,0,0.115516635167296,6,1
1,2,3,50,0,16,0,0.212399577929318,13,1
1,1,3,200,2,9,1,0.201211715189856,13,1
2,1,3,110,0,9,0,0.228222998397541,20,1
2,1,3,110,1,9,0,0.211105922015122,6,1
2,3,3,110,0,23,0,0.191746195701853,6,1
1,1,3,80,0,9,0,0.242729225603398,13,1
2,2,3,170,1,16,1,0.185411805756303,20,1
2,3,3,140,2,23,0,0.267847656039521,13,1
1,1,3,50,0,9,0,0.192748482415482,20,1
2,3,3,140,1,23,0,0.399743961614149,20,1
2,1,3,200,2,9,0,0.196512988928589,6,1
1,1,3,170,1,9,0,0.218757407474186,20,1
1,1,3,50,0,9,0,0.239701034850441,6,1
2,1,3,230,0,9,1,0.217347636218619,6,1
2,2,3,80,1,16,0,0.200030727297417,20,1
1,2,3,200,0,16,1,0.252791366798192,6,1
2,1,3,170,2,9,0,0.465673548802442,13,1
1,1,3,140,0,9,0,0.284450196344551,13,1
1,2,3,170,0,16,1,0.215137963383313,13,1
1,2,3,80,1,16,0,0.21834828385181,20,1
1,3,3,80,0,23,0,0.20106678434604,13,1
1,2,3,50,2,16,0,0.219724803573627,20,1
2,1,3,80,0,9,0,0.228724455660995,6,1
2,1,3,110,1,9,0,0.407608963683742,6,1
2,3,3,230,1,23,1,0.181999242999154,6,1
1,1,3,110,0,9,0,0.195819142660184,20,1
1,1,3,200,0,9,0,0.230679138629057,20,1
2,3,3,80,2,23,0,0.255540970189031,13,1
1,3,3,80,0,23,0,0.216212903487758,13,1
1,2,3,140,2,16,0,0.122776169759163,13,1
1,1,3,50,1,9,0,0.18771356786965,13,1
2,3,3,140,0,23,1,0.184300745720975,20,1
2,2,3,230,2,16,1,0.116864730371162,13,1
1,3,3,230,0,23,1,0.192094639496645,13,1
1,3,3,140,0,23,1,0.166720377099409,6,1
2,1,3,80,0,9,0,0.139713488584675,13,1
1,2,3,170,0,16,0,0.194469923411816,13,1
1,2,3,230,2,16,1,0.287084086627146,20,1
1,3,3,230,1,23,1,0.149486219212122,6,1
1,3,3,170,0,23,1,0.198173686188966,6,1
2,2,3,200,1,16,1,0.139246316681238,20,1
2,2,3,200,1,16,1,0.13793675492343,6,1
2,3,3,230,0,23,1,0.216645241162041,20,1
1,2,3,50,1,16,0,0.136310215206322,20,1
1,2,3,50,2,16,0,0.188991840481322,20,1
