motion,mIntv,soa,i1,i2,i3,i4,i5,i6,resp,rt,sub,mi
2,1,200,23,23,14,5,14,5,1,0.30830456984404,1,14
1,2,200,14,23,5,23,5,14,1,0.347657481848728,1,14
2,1,230,14,14,23,5,23,5,1,0.505515914046555,1,14
1,1,230,14,23,23,5,14,5,1,0.36748770995473,1,14
1,3,170,5,5,14,23,14,23,1,0.371319450845476,1,14
1,1,50,14,14,23,5,23,5,0,0.255256471325993,1,14
2,2,110,14,23,23,5,5,14,0,0.453210279549239,1,14
1,2,200,5,23,14,23,5,14,1,0.469129778502975,1,14
1,2,200,23,5,14,5,23,14,1,0.330953287921147,1,14
2,3,110,5,14,5,14,23,23,0,0.454876901087118,1,14
2,2,80,5,23,14,23,5,14,0,1.13279845115903,1,14
1,3,230,14,5,14,5,23,23,1,0.322705968326773,1,14
2,2,50,5,14,5,23,23,14,0,0.384605669096345,1,14
2,2,200,23,23,5,14,5,14,1,0.438513877990772,1,14
1,2,230,23,14,23,5,5,14,1,0.342427217634395,1,14
2,3,110,14,5,14,23,5,23,0,0.482341991839348,1,14
2,1,50,5,14,23,23,14,5,0,0.766217169672018,1,14
1,1,170,14,23,5,23,14,5,1,0.804147396265762,1,14
1,1,170,5,23,14,14,23,5,1,0.516057593122241,1,14
1,2,140,23,23,5,5,14,14,1,1.26198603028024,1,14
2,1,230,14,14,23,23,5,5,1,0.319808273547096,1,14
2,1,80,14,14,5,23,23,5,0,0.59172872286581,1,14
2,1,80,5,23,23,14,14,5,0,1.64761217425985,1,14
1,2,170,5,23,14,23,5,14,1,0.249489102410735,1,14
2,2,110,5,23,5,23,14,14,1,1.06941204793111,1,14
1,1,230,14,23,14,5,23,5,1,0.355310016384465,1,14
2,3,200,5,23,5,14,14,23,1,0.277255878871074,1,14
1,3,140,5,14,5,23,14,23,1,1.04314869851805,1,14
2,3,200,14,14,5,23,5,23,1,0.282999867675244,1,14
2,3,110,5,14,5,14,23,23,1,0.674933423564653,1,14
2,3,200,14,23,5,5,14,23,1,0.28881569900841,1,14
2,2,50,23,23,14,5,5,14,0,0.394772165833274,1,14
1,2,80,23,14,5,23,5,14,0,0.338689156560577,1,14
2,1,170,5,14,23,14,23,5,1,0.306588730993099,1,14
1,1,110,14,14,23,5,23,5,0,1.02246824558824,1,14
2,3,50,23,5,5,14,14,23,0,0.542369080154458,1,14
2,3,50,5,14,14,23,5,23,0,0.422304512714618,1,14
1,1,230,14,14,23,5,23,5,1,0.998255409693229,1,14
2,2,80,5,5,23,23,14,14,0,1.35812497255392,1,14
1,3,110,14,5,23,14,5,23,0,0.505986902440782,1,14
2,2,50,23,5,23,14,5,14,0,0.193846215843223,1,14
2,3,80,14,14,5,5,23,23,0,0.23583067022264,1,14
1,3,50,5,14,14,5,23,23,0,0.335399578951183,1,14
1,3,200,14,5,5,23,14,23,1,0.44124423993344,1,14
1,1,230,23,23,14,14,5,5,1,0.285132545381202,1,14
1,3,110,5,5,14,23,14,23,0,0.419081694999477,1,14
2,2,140,23,14,5,23,5,14,0,0.614963654690655,1,14
1,2,200,14,23,5,23,5,14,0,0.326858760017785,1,14
1,3,170,5,5,14,23,14,23,1,0.954793711382081,1,14
2,1,50,23,23,5,14,14,5,0,0.372710341194761,1,14
2,2,230,14,23,23,5,5,14,1,0.312606845007394,1,14
1,3,140,14,5,23,14,5,23,1,0.618509207371972,1,14
1,2,80,14,5,23,23,5,14,0,0.444439437007532,1,14
2,1,140,14,23,14,23,5,5,0,1.27638487842341,1,14
2,2,110,23,5,5,14,23,14,0,1.29819743160624,1,14
2,3,170,23,5,14,14,5,23,1,0.306129164979211,1,14
1,2,110,5,23,5,23,14,14,0,0.268008378814557,1,14
2,2,50,5,14,23,5,23,14,0,0.195911914110184,1,14
2,2,110,5,23,23,14,5,14,0,0.309884266389417,1,14
2,1,80,5,23,14,14,23,5,0,0.211782836355269,1,14
2,2,110,23,5,14,23,5,14,0,0.139651665391284,1,14
2,2,50,5,23,14,5,23,14,0,0.24963551525434,1,14
1,2,140,14,5,23,23,5,14,0,1.26152076810831,1,14
1,2,170,5,5,23,14,23,14,1,0.407419332041172,1,14
2,3,200,14,5,23,14,5,23,1,0.309292570032994,1,14
2,3,50,5,5,14,23,14,23,0,0.265267782437149,1,14
2,3,80,5,5,14,14,23,23,0,0.305145137666841,1,14
1,3,230,23,14,5,14,5,23,1,0.245027142445906,1,14
2,1,200,14,14,5,23,23,5,1,0.278949281957466,1,14
2,2,140,23,5,14,5,23,14,0,1.25888010705239,1,14
1,3,200,5,14,5,23,14,23,0,0.586762529885164,1,14
2,2,110,23,23,5,14,5,14,0,1.3806298852578,1,14
1,1,110,23,14,14,5,23,5,0,1.20057459286181,1,14
1,1,170,23,23,14,5,14,5,1,0.214417301991489,1,14
1,1,230,14,14,5,23,23,5,1,0.240360520896502,1,14
1,1,80,5,23,14,14,23,5,0,2.05629292491358,1,14
1,3,110,5,14,14,23,5,23,0,0.422123137992457,1,14
2,1,140,23,23,5,14,14,5,0,0.852050498491735,1,14
1,2,50,5,23,23,14,5,14,0,0.287949450372253,1,14
1,2,170,23,23,5,14,5,14,1,0.905893715869752,1,14
2,1,230,23,23,14,5,14,5,1,0.277778349191067,1,14
2,1,50,23,14,14,5,23,5,0,0.42966956285818,1,14
2,2,110,5,23,14,5,23,14,0,0.457605326228077,1,14
1,1,80,14,5,14,23,23,5,0,0.241476699593477,1,14
1,2,170,14,5,23,5,23,14,1,0.827331847642199,1,14
2,2,170,14,5,23,23,5,14,0,0.883257520938059,1,14
1,2,230,23,23,5,14,5,14,1,0.139162172010401,1,14
1,1,170,14,23,14,5,23,5,1,0.415065710287308,1,14
1,3,80,23,14,14,5,5,23,0,0.108935925774858,1,14
1,3,170,5,14,14,23,5,23,1,0.128899144372554,1,14
2,2,80,14,23,23,5,5,14,0,0.252771765837679,1,14
2,2,230,5,14,5,23,23,14,1,0.178689613690949,1,14
1,3,50,14,5,23,14,5,23,0,0.302619329027948,1,14
1,2,140,23,5,23,5,14,14,1,0.240549808280775,1,14
2,1,170,14,14,23,23,5,5,1,0.216480344650336,1,14
2,3,140,5,5,14,23,14,23,0,1.20034152870358,1,14
1,3,230,5,23,14,5,14,23,1,0.194271755302907,1,14
2,1,110,23,14,14,23,5,5,0,0.434190312924329,1,14
1,3,230,14,23,5,5,14,23,1,0.188103616485023,1,14
1,2,140,23,23,5,14,5,14,1,0.491969465118018,1,14
1,1,230,5,23,23,14,14,5,1,0.211986069392879,1,14
