motion,mIntv,soa,i1,i2,i3,i4,i5,i6,resp,rt,sub,mi
1,3,230,5,5,14,14,23,23,1,0.105817951611243,1,14
2,1,230,14,5,23,14,23,5,1,0.231797347412794,1,14
2,3,230,5,14,23,5,14,23,1,0.173659821652109,1,14
2,3,140,14,5,14,5,23,23,0,0.221563020109897,1,14
2,2,110,5,23,5,23,14,14,0,0.207475656003226,1,14
1,2,50,23,14,23,5,5,14,0,0.361395329382503,1,14
2,3,80,5,23,14,14,5,23,0,0.155303613471915,1,14
1,3,110,5,14,14,23,5,23,0,0.175158752506832,1,14
1,2,200,23,5,23,14,5,14,1,0.931138220475987,1,14
2,1,200,5,14,14,23,23,5,1,0.3509940301592,1,14
2,2,80,14,5,5,23,23,14,0,1.12689686771773,1,14
2,1,230,14,23,23,14,5,5,1,0.130824462787132,1,14
1,1,200,14,5,23,23,14,5,1,0.778736172389472,1,14
2,3,230,14,14,5,23,5,23,1,0.100625756007503,1,14
1,3,140,5,14,5,14,23,23,1,0.670548190246336,1,14
1,2,110,14,5,5,23,23,14,0,0.0804482248349814,1,14
2,3,80,5,5,23,14,14,23,0,0.274345083525986,1,14
2,2,200,5,14,23,5,23,14,1,0.93830844949116,1,14
1,1,50,23,23,5,14,14,5,0,0.118135411510593,1,14
2,2,170,5,23,14,5,23,14,1,0.524120446309098,1,14
2,1,170,23,23,14,14,5,5,0,0.923957290870021,1,14
2,1,50,5,23,14,14,23,5,0,0.24389313843858,1,14
2,2,230,5,14,23,5,23,14,1,0.407792042227811,1,14
1,3,80,5,5,14,14,23,23,0,0.111721847802983,1,14
1,2,110,5,5,23,23,14,14,0,0.297651027794927,1,14
2,1,140,5,23,14,23,14,5,0,0.570939077617368,1,14
1,1,110,14,23,5,23,14,5,0,1.27482124177914,1,14
1,2,80,23,23,14,5,5,14,1,0.856740009927307,1,14
2,2,230,23,5,5,14,23,14,0,0.368606538249878,1,14
2,2,140,5,14,23,23,5,14,0,1.8225207470532,1,14
2,3,170,5,14,23,14,5,23,1,1.55834703838627,1,14
2,1,200,23,14,23,5,14,5,1,1.82821478474943,1,14
2,1,200,14,5,23,14,23,5,1,0.250178607835551,1,14
2,2,200,14,5,23,23,5,14,1,0.19803624607448,1,14
1,2,170,5,23,23,14,5,14,1,0.665957164557767,1,14
1,2,230,5,14,23,23,5,14,0,0.515878901074757,1,14
2,2,200,23,23,5,14,5,14,0,0.125760457740398,1,14
2,2,170,14,23,5,5,23,14,0,0.223654748042463,1,14
2,3,140,14,5,5,14,23,23,0,0.123602105231839,1,14
2,3,80,5,5,14,14,23,23,0,0.143527011634433,1,14
2,1,200,14,23,23,5,14,5,1,0.095450672932202,1,14
2,3,170,14,14,5,23,5,23,1,1.90530399543059,1,14
1,3,200,5,14,23,14,5,23,1,0.873252432298614,1,14
2,1,80,23,23,5,14,14,5,0,0.189086158105056,1,14
2,2,230,5,23,23,14,5,14,0,0.351035166386282,1,14
1,3,80,23,14,5,5,14,23,0,0.209001353359781,1,14
2,3,50,5,14,5,14,23,23,0,0.162873550783843,1,14
2,3,170,23,14,14,5,5,23,0,0.228799777440145,1,14
2,1,50,23,23,5,14,14,5,0,0.480732178461039,1,14
1,2,140,23,23,5,5,14,14,0,0.590559579562978,1,14
2,3,200,5,14,14,5,23,23,1,0.132559820165625,1,14
2,1,80,5,14,14,23,23,5,0,1.02838322731259,1,14
1,2,80,5,5,23,14,23,14,0,0.176298245147336,1,14
2,3,170,14,14,23,5,5,23,1,0.344189879848273,1,14
2,3,170,5,23,14,5,14,23,1,0.272112906561233,1,14
1,2,200,5,14,23,23,5,14,1,0.320031295777881,1,14
1,1,50,5,23,23,14,14,5,0,0.759963636635803,1,14
1,3,50,14,14,5,5,23,23,0,0.183850618792349,1,14
1,3,110,14,5,23,14,5,23,0,0.597798956398037,1,14
1,1,140,14,23,14,5,23,5,0,0.139680329622934,1,14
2,3,140,5,14,14,5,23,23,1,0.193608908142778,1,14
2,3,140,14,5,23,14,5,23,1,0.367558605139493,1,14
1,2,80,5,23,14,23,5,14,0,0.791391467791982,1,14
2,2,140,14,23,5,23,5,14,1,0.31929930075421,1,14
1,1,140,23,14,23,14,5,5,0,1.70523083262378,1,14
1,1,50,5,14,23,14,23,5,0,0.129120557583519,1,14
1,1,140,14,23,5,14,23,5,1,0.107045662472956,1,14
2,3,140,14,23,14,5,5,23,1,0.77606100057892,1,14
2,2,50,23,23,5,5,14,14,0,0.249959871274768,1,14
1,1,170,14,23,14,5,23,5,1,0.24796241860895,1,14
2,2,140,14,5,23,5,23,14,0,0.765829689786187,1,14
1,2,50,5,23,23,5,14,14,0,1.09175256011076,1,14
2,2,200,5,14,23,5,23,14,0,1.40163746109465,1,14
2,1,200,5,23,14,14,23,5,1,0.737516452383716,1,14
2,3,80,14,23,14,5,5,23,0,0.237394409108674,1,14
2,1,50,14,5,23,14,23,5,0,0.185386189681594,1,14
2,1,50,14,23,5,14,23,5,0,0.219259406614583,1,14
1,1,200,14,23,14,5,23,5,0,0.56913938136131,1,14
1,1,110,23,23,14,14,5,5,0,0.255086816745461,1,14
2,2,230,5,23,14,23,5,14,1,0.107035755849211,1,14
2,2,230,5,23,23,5,14,14,1,0.100887884400436,1,14
2,2,170,5,23,14,5,23,14,1,0.388772641017567,1,14
1,2,110,23,5,5,14,23,14,0,0.238705929237767,1,14
1,3,110,14,14,23,5,5,23,0,0.14062079366704,1,14
1,1,140,23,23,5,14,14,5,0,0.88456585915992,1,14
1,2,140,5,23,5,14,23,14,1,0.0904438249126542,1,14
1,3,110,5,23,5,14,14,23,1,0.376402399968356,1,14
1,1,230,14,23,23,14,5,5,1,0.178254176629707,1,14
2,1,230,14,23,5,23,14,5,1,0.0961746199318441,1,14
1,3,230,5,14,14,5,23,23,1,0.120109066032455,1,14
2,3,140,23,14,14,5,5,23,1,0.652024646245991,1,14
1,3,170,5,23,5,14,14,23,1,0.151924909398076,1,14
1,3,170,14,14,5,23,5,23,1,0.207837100184406,1,14
2,3,230,14,5,5,23,14,23,1,0.1137301393901,1,14
2,1,110,5,23,14,23,14,5,0,0.00020141652203165,1,14
2,2,80,5,14,23,23,5,14,0,0.527643800844089,1,14
2,1,230,23,23,14,14,5,5,1,0.165515550150303,1,14
2,3,110,14,14,23,5,5,23,0,0.381399810517905,1,14
1,2,110,5,23,23,14,5,14,0,0.809342190332245,1,14
1,1,110,14,14,5,23,23,5,0,0.103222721460043,1,14
1,3,140,14,5,5,23,14,23,1,0.263165408046916,1,14
1,2,140,23,5,5,23,14,14,0,2.63104763838055,1,14
1,2,110,23,5,23,14,5,14,0,0.0869638922740705,1,14
2,3,170,23,14,5,5,14,23,1,0.176878495054552,1,14
1,1,170,5,14,23,14,23,5,1,0.364729294291465,1,14
2,2,80,5,23,5,23,14,14,0,0.000173447013366967,1,14
1,1,110,14,23,23,14,5,5,0,0.210643545200583,1,14
2,2,140,5,14,23,23,5,14,0,1.41457508607709,1,14
1,2,50,23,14,23,5,5,14,0,0.058427599578863,1,14
1,3,200,5,14,14,23,5,23,1,0.769821722991765,1,14
2,2,80,5,23,14,23,5,14,0,0.00576070735405665,1,14
1,2,170,23,5,23,5,14,14,1,0.291686618234962,1,14
1,1,140,14,14,23,5,23,5,0,0.58962219816749,1,14
2,2,50,5,23,5,23,14,14,0,0.139514750146191,1,14
1,1,170,23,23,14,5,14,5,0,0.189428552956088,1,14
2,3,50,23,5,14,14,5,23,0,0.307315222322359,1,14
1,3,50,14,5,23,5,14,23,0,0.125286227281322,1,14
1,2,110,23,14,5,23,5,14,0,0.679175459008547,1,14
2,1,110,23,14,23,14,5,5,0,0.0550757702876581,1,14
2,2,140,23,5,14,23,5,14,0,0.611002415011171,1,14
1,3,230,14,5,5,14,23,23,1,0.340908470549039,1,14
1,1,230,14,23,14,5,23,5,1,0.0708276537188794,1,14
1,2,50,14,5,5,23,23,14,0,0.218721706434735,1,14
2,3,80,14,23,5,14,5,23,0,0.3866806243459,1,14
1,1,200,14,23,5,23,14,5,1,0.066525841713883,1,14
1,1,230,23,14,23,5,14,5,1,0.0664410610334016,1,14
1,2,110,5,23,23,5,14,14,0,0.456417819281342,1,14
2,1,80,14,23,14,5,23,5,0,0.252293613622896,1,14
2,3,110,14,5,5,14,23,23,0,0.384202586428728,1,14
1,3,140,14,14,5,23,5,23,1,0.412211939677945,1,14
1,3,50,14,14,23,5,5,23,0,0.406063487767824,1,14
2,2,230,5,14,23,5,23,14,1,0.0280211365316063,1,14
2,2,200,14,5,5,23,23,14,1,0.123896837641951,1,14
1,2,200,23,5,14,5,23,14,1,0.307800219539786,1,14
2,2,80,5,14,5,23,23,14,0,0.385730178502854,1,14
2,2,170,23,23,5,14,5,14,1,0.671641148248455,1,14
1,3,80,23,14,5,14,5,23,0,1.37551855460333,1,14
1,1,140,5,14,14,23,23,5,0,0.0894361919345101,1,14
1,3,200,23,14,14,5,5,23,1,0.0113189726544078,1,14
2,3,170,5,14,5,14,23,23,1,0.31128478969913,1,14
1,1,230,5,14,14,23,23,5,1,0.0671827551414026,1,14
1,2,110,5,14,23,23,5,14,0,0.54511576067307,1,14
1,1,50,23,14,23,14,5,5,0,0.371008577320026,1,14
1,3,80,5,14,14,23,5,23,0,0.21094392867235,1,14
1,3,170,14,5,14,5,23,23,1,0.242912593792425,1,14
1,2,230,14,5,5,23,23,14,1,0.0627571555232862,1,14
2,3,140,14,5,5,23,14,23,1,0.232724987596157,1,14
1,3,200,23,5,5,14,14,23,1,0.198585744568845,1,14
2,1,110,23,14,23,5,14,5,0,0.394475090593915,1,14
1,1,140,14,23,5,14,23,5,0,0.37438782575191,1,14
1,2,140,23,14,5,23,5,14,0,0.136380619835109,1,14
2,3,230,14,5,23,14,5,23,1,0.351554151071468,1,14
2,3,80,14,23,14,5,5,23,0,0.197444053468644,1,14
1,2,170,23,5,5,23,14,14,1,0.531347940632259,1,14
1,2,200,5,23,5,14,23,14,1,0.495238922725548,1,14
1,3,80,5,14,14,5,23,23,0,0.17914525193919,1,14
2,2,110,5,23,14,5,23,14,0,0.159086873871274,1,14
2,2,170,23,5,5,23,14,14,1,0.193029828122235,1,14
1,2,80,23,23,14,5,5,14,0,0.846917162140016,1,14
1,3,140,23,5,5,14,14,23,0,0.274835939315381,1,14
1,1,50,14,5,23,23,14,5,0,0.208707342739217,1,14
1,2,230,14,23,5,23,5,14,1,0.238680326612666,1,14
2,3,80,14,5,14,5,23,23,0,0.190564656179049,1,14
1,3,50,14,23,14,5,5,23,0,0.230531868699472,1,14
1,2,50,5,23,23,5,14,14,0,0.458409058512188,1,14
1,2,200,23,14,5,5,23,14,1,0.246286801702809,1,14
2,2,200,5,23,23,14,5,14,1,0.310257391625782,1,14
1,2,80,23,14,5,5,23,14,0,0.112139348275377,1,14
1,3,80,14,5,5,23,14,23,0,0.636043773789424,1,14
1,3,50,14,14,23,5,5,23,0,0.0719316461472772,1,14
1,1,80,14,14,23,5,23,5,0,0.0838565916346852,1,14
1,1,170,5,14,14,23,23,5,1,0.793809187831357,1,14
1,1,80,5,14,23,14,23,5,0,0.167676630429924,1,14
1,1,80,23,23,14,5,14,5,0,0.317629434139235,1,14
1,2,50,23,5,14,23,5,14,0,0.171513880995917,1,14
1,1,50,5,14,14,23,23,5,0,0.0734786514512962,1,14
2,2,200,5,14,23,23,5,14,1,0.143371495156316,1,14
1,3,50,23,5,14,14,5,23,0,0.291267147855251,1,14
1,2,140,5,23,23,14,5,14,1,0.365213085504365,1,14
2,1,140,5,23,23,14,14,5,1,0.283128034163383,1,14
1,2,50,23,5,23,14,5,14,0,0.293100780443638,1,14
1,2,170,23,14,23,5,5,14,1,0.452963756935787,1,14
1,2,50,23,23,5,5,14,14,0,0.244848441376234,1,14
1,1,140,23,14,23,14,5,5,0,0.222767558385385,1,14
1,2,230,23,14,5,5,23,14,1,0.0766992135322653,1,14
2,1,200,23,14,5,14,23,5,1,0.284637987395399,1,14
1,3,50,5,5,14,14,23,23,0,0.16252766425896,1,14
2,1,230,23,5,23,14,14,5,1,0.338455373610486,1,14
2,2,140,5,14,23,23,5,14,0,0.252361396080232,1,14
1,1,200,5,14,14,23,23,5,0,0.208258907383424,1,14
2,1,140,14,23,23,14,5,5,0,0.568198351902538,1,14
1,2,230,5,5,14,23,23,14,1,0.182103748811642,1,14
1,1,80,14,23,5,14,23,5,0,0.22004337378894,1,14
1,1,170,14,23,5,14,23,5,1,0.599808457016479,1,14
2,3,200,5,23,14,14,5,23,1,0.0797771191428183,1,14
1,3,110,5,14,5,14,23,23,0,0.22764883536729,1,14
2,2,80,23,14,5,23,5,14,0,0.265580544655677,1,14
2,1,170,23,14,23,14,5,5,0,0.081498509796802,1,14
2,2,50,5,23,14,5,23,14,0,0.393392231693724,1,14
1,3,110,14,5,5,23,14,23,0,0.727341435456765,1,14
1,1,200,14,23,5,23,14,5,1,0.153272441020817,1,14
2,2,170,5,5,23,23,14,14,0,0.485111508096452,1,14
2,2,110,23,14,5,23,5,14,0,0.235051653362461,1,14
2,3,170,5,23,5,14,14,23,0,0.736959260771982,1,14
2,1,110,23,14,5,14,23,5,0,0.442846348174498,1,14
2,3,200,14,5,14,5,23,23,1,0.0507878227363108,1,14
1,1,200,5,14,23,23,14,5,1,0.0987344340683194,1,14
2,3,80,5,23,14,5,14,23,0,0.106600210521719,1,14
2,3,200,5,23,14,14,5,23,1,0.422551125549944,1,14
1,1,200,5,14,14,23,23,5,1,0.462445710596512,1,14
2,3,230,5,14,5,14,23,23,1,0.0183253635332221,1,14
1,2,110,5,5,14,23,23,14,0,0.134293839204474,1,14
1,3,80,14,5,14,23,5,23,0,0.132207365299109,1,14
2,3,110,14,14,5,5,23,23,0,0.142150611267425,1,14
1,2,50,14,5,23,5,23,14,0,0.0980556893919129,1,14
1,1,110,23,5,23,14,14,5,0,0.0939501962420763,1,14
1,1,50,23,5,23,14,14,5,0,0.165912308089901,1,14
1,2,230,23,23,5,5,14,14,1,0.0918118674890138,1,14
2,3,50,5,5,23,14,14,23,0,0.147732807032298,1,14
2,2,230,23,5,23,14,5,14,1,0.373627259745263,1,14
1,3,140,5,14,5,14,23,23,1,0.703522795141907,1,14
2,2,170,23,23,14,5,5,14,1,0.221414962172275,1,14
2,2,50,5,23,14,5,23,14,0,0.759330587505247,1,14
1,3,200,5,5,23,14,14,23,1,0.00522676651598886,1,14
1,3,140,23,5,5,14,14,23,1,1.17117621088983,1,14
2,3,230,14,23,5,14,5,23,1,0.0570944827777566,1,14
2,3,80,5,14,14,23,5,23,0,0.200976222913596,1,14
2,2,230,23,14,5,23,5,14,1,0.0769165937381331,1,14
2,2,50,14,5,5,23,23,14,0,0.282869758346351,1,14
1,3,140,5,14,14,5,23,23,1,0.70676695687871,1,14
1,1,80,5,23,23,14,14,5,0,0.0240339273150312,1,14
1,2,80,23,5,5,23,14,14,1,0.310590746012167,1,14
1,1,200,14,23,14,23,5,5,1,0.122477821380016,1,14
1,3,170,5,5,14,23,14,23,1,1.80636249078088,1,14
1,1,230,14,23,23,14,5,5,1,0.140342488084571,1,14
1,3,230,5,5,14,23,14,23,1,0.0874812920083059,1,14
2,1,110,23,14,5,14,23,5,0,0.297420513976249,1,14
2,2,110,5,23,5,23,14,14,0,0.741344223395572,1,14
2,2,170,5,5,23,23,14,14,1,0.0872247695515398,1,14
2,1,200,23,14,23,5,14,5,1,0.209247842882178,1,14
1,1,50,23,14,14,5,23,5,0,0.207084846842918,1,14
1,1,200,14,23,23,14,5,5,1,0.0870172749273479,1,14
1,2,170,23,23,5,5,14,14,1,0.124904073629295,1,14
1,2,170,23,14,5,23,5,14,1,0.294844128657132,1,14
2,2,200,5,14,23,23,5,14,1,0.0667456369119463,1,14
1,3,200,23,5,14,5,14,23,1,0.100614090013551,1,14
2,1,110,23,14,5,23,14,5,0,0.156555772089632,1,14
1,2,200,5,14,5,23,23,14,0,0.0184735748334788,1,14
2,1,80,14,5,23,23,14,5,0,0.0424253620294621,1,14
2,3,200,23,5,14,5,14,23,1,0.00017900783859659,1,14
1,3,200,14,5,5,14,23,23,0,0.056219443315058,1,14
2,3,110,5,23,14,14,5,23,0,0.0402085442328826,1,14
1,2,230,5,5,14,23,23,14,1,0.0720563089271309,1,14
2,2,110,5,14,23,5,23,14,0,0.789993753482122,1,14
1,1,110,5,14,14,23,23,5,0,0.241921315464424,1,14
2,3,200,14,23,5,5,14,23,0,0.549805386384833,1,14
2,2,50,23,5,14,23,5,14,0,0.027782698001829,1,14
1,3,140,14,14,23,5,5,23,0,0.217618243332254,1,14
2,1,110,23,14,5,23,14,5,0,0.211573050037259,1,14
2,1,170,14,14,23,5,23,5,0,0.18545649839507,1,14
1,2,230,23,23,5,14,5,14,1,0.22136204567505,1,14
2,2,170,14,23,5,23,5,14,0,0.137303709721891,1,14
2,2,140,23,14,5,5,23,14,0,0.143217605742393,1,14
1,3,110,5,5,14,23,14,23,0,0.123145934645436,1,14
2,2,200,5,5,23,23,14,14,1,0.0750292566954158,1,14
1,3,140,14,5,23,14,5,23,0,0.550989380615647,1,14
2,3,50,5,14,14,23,5,23,0,0.064907658539596,1,14
1,1,140,23,14,5,14,23,5,0,0.178825795097509,1,14
1,1,200,23,14,14,5,23,5,0,0.0747172583796782,1,14
2,3,200,5,23,14,5,14,23,1,0.412630676233675,1,14
2,2,80,5,23,23,14,5,14,0,0.238528226647759,1,14
1,1,110,14,23,5,23,14,5,0,0.0664481797284679,1,14
2,1,80,14,23,5,14,23,5,0,0.0423673598852474,1,14
2,1,140,14,23,23,14,5,5,0,0.146296885766787,1,14
1,3,230,23,5,14,5,14,23,1,0.000195867731235921,1,14
2,1,230,23,23,14,5,14,5,1,0.696112653939053,1,14
2,1,140,14,14,23,5,23,5,0,0.740097854170017,1,14
1,1,50,14,23,5,14,23,5,0,0.241609434437123,1,14
1,1,140,23,14,23,5,14,5,0,0.203553236802691,1,14
1,3,80,14,23,5,5,14,23,0,0.121416670430335,1,14
2,2,200,14,23,5,23,5,14,1,0.497374084603507,1,14
1,1,200,14,5,14,23,23,5,1,0.801298052654602,1,14
1,1,80,5,14,23,14,23,5,0,1.74515467137098,1,14
1,3,80,14,23,5,5,14,23,0,0.365038835501764,1,14
1,3,200,23,14,14,5,5,23,1,0.000178884525666945,1,14
1,3,170,5,14,5,14,23,23,1,0.918858663790161,1,14
2,3,50,14,5,23,5,14,23,0,0.446751489449525,1,14
1,3,80,14,14,5,23,5,23,0,0.438723159051733,1,14
1,3,170,14,23,14,5,5,23,1,0.120623467315454,1,14
2,3,110,23,5,5,14,14,23,0,0.342479851431563,1,14
1,2,200,23,5,14,23,5,14,1,0.332443097096984,1,14
2,1,110,14,5,14,23,23,5,0,0.322352445829893,1,14
1,2,200,23,14,5,5,23,14,1,0.160237590418546,1,14
2,1,140,5,23,14,23,14,5,0,0.380164274218259,1,14
2,3,230,14,23,5,5,14,23,1,0.00210509616590571,1,14
1,2,170,23,5,23,5,14,14,1,0.0239984210784314,1,14
1,2,50,23,14,23,5,5,14,1,0.633928749943152,1,14
1,3,80,23,14,5,14,5,23,0,0.395788700931007,1,14
1,1,110,23,14,14,23,5,5,0,0.619733146872022,1,14
2,3,170,14,5,14,5,23,23,1,0.589629539404996,1,14
2,1,110,23,5,23,14,14,5,0,0.469538091158029,1,14
2,1,170,5,14,23,23,14,5,1,0.113462750930921,1,14
2,1,200,23,5,14,14,23,5,1,0.627330175484531,1,14
2,2,140,23,5,23,5,14,14,1,0.0512374250101857,1,14
2,3,140,14,14,23,5,5,23,1,0.669160012635984,1,14
1,3,230,14,5,5,14,23,23,1,0.0650679568789201,1,14
2,1,140,14,5,14,23,23,5,0,0.0910231785965152,1,14
2,1,170,14,23,14,23,5,5,1,0.376980352171813,1,14
2,1,170,23,14,14,5,23,5,1,1.36279941957036,1,14
2,3,50,5,14,14,5,23,23,0,0.120714951655827,1,14
1,3,50,5,5,14,14,23,23,0,0.0306181290507084,1,14
2,1,140,23,14,23,5,14,5,1,0.100604559338535,1,14
2,3,110,14,14,5,23,5,23,1,0.338527062747744,1,14
1,1,200,14,23,5,14,23,5,1,0.192390905387583,1,14
1,2,80,5,23,14,23,5,14,0,0.526276871038135,1,14
2,1,50,23,14,23,5,14,5,0,0.140232958903653,1,14
2,1,80,14,23,23,5,14,5,0,0.0661096314288443,1,14
1,1,170,23,14,5,14,23,5,1,0.232076149230124,1,14
2,1,200,14,23,23,14,5,5,1,0.918022634243243,1,14
2,3,230,23,5,14,14,5,23,1,0.0937229996488895,1,14
2,2,200,5,23,23,14,5,14,1,0.397606285623624,1,14
2,1,50,23,14,14,5,23,5,0,0.079569597452064,1,14
1,2,140,14,23,5,23,5,14,0,0.553490958031034,1,14
2,3,50,14,14,23,5,5,23,0,0.131410559231881,1,14
2,3,110,14,5,23,14,5,23,0,0.183316112539615,1,14
1,3,170,5,23,14,5,14,23,1,0.295219807216199,1,14
1,1,50,23,5,14,23,14,5,0,0.155151248851325,1,14
2,3,170,14,23,5,14,5,23,1,0.0771127261250513,1,14
1,1,80,14,14,23,5,23,5,0,0.196940052032005,1,14
1,2,50,5,5,23,14,23,14,0,0.132901042088633,1,14
2,3,110,14,14,5,23,5,23,0,1.2428430038708,1,14
2,1,80,14,14,23,5,23,5,0,0.0886751687939977,1,14
